Record_ID,District_ID,Date,Precipitation_mm,Historical_Avg_mm
256,27,2023-11-19,84.51,92.48
257,13,2023-12-23,25.28,71.81
258,25,2023-09-11,280.39,212.4
259,26,2023-05-05,25.68,17.44
260,10,2023-12-02,0.0,30.0
261,1,2023-02-24,0.0,13.02
262,28,2023-04-23,33.84,16.65
263,12,2023-12-23,62.15,79.79
264,30,2023-01-26,41.9,35.75
265,16,2023-03-04,28.09,22.34
266,30,2023-03-10,58.92,39.92
267,30,2023-12-08,100.83,81.43
268,21,2023-08-15,175.33,142.9
269,33,2023-08-07,150.4,152.73
270,29,2023-03-23,53.5,31.41
271,31,2023-08-19,35.45,136.47
272,17,2023-05-07,29.11,21.0
273,18,2023-09-24,359.48,216.63
274,32,2023-11-17,65.12,61.48
275,16,2023-05-21,35.28,19.31
276,29,2023-02-09,54.06,30.07
277,19,2023-05-01,11.84,25.97
278,18,2023-06-21,157.17,187.78
279,21,2023-10-04,61.83,46.59
280,6,2023-03-12,12.42,9.87
281,10,2023-04-29,18.94,8.53
282,25,2023-12-22,50.74,69.47
283,10,2023-12-28,20.62,32.67
284,14,2023-02-02,23.03,7.41
285,27,2023-07-28,104.14,132.37
286,22,2023-10-05,29.06,38.97
287,30,2023-08-01,198.43,254.0
288,4,2023-04-16,0.0,12.96
289,27,2023-07-19,280.13,217.26
290,2,2023-10-22,26.61,40.42
291,25,2023-09-02,204.86,246.05
292,1,2023-06-30,197.39,186.32
293,20,2023-07-19,255.21,258.16
294,27,2023-10-03,77.21,61.06
295,15,2023-09-07,246.99,266.95
296,15,2023-05-20,37.94,36.95
297,28,2023-09-06,105.98,159.72
298,2,2023-07-19,137.89,125.42
299,22,2023-12-09,33.99,48.36
300,26,2023-03-26,23.57,12.7
301,30,2023-03-07,17.78,12.44
302,2,2023-07-21,194.08,193.44
303,2,2023-02-12,25.83,24.51
304,28,2023-03-11,25.02,11.46
305,30,2023-04-04,5.04,15.49
306,4,2023-05-14,0.6,19.94
307,25,2023-06-17,227.81,247.97
308,14,2023-08-21,124.42,220.0
309,21,2023-06-22,194.08,180.44
310,25,2023-05-23,29.29,15.29
311,27,2023-05-10,59.15,29.99
312,6,2023-08-29,284.71,196.97
313,2,2023-10-04,55.15,62.28
314,4,2023-06-29,184.22,173.5
315,15,2023-11-29,14.09,30.66
316,5,2023-11-30,110.74,92.31
317,3,2023-01-16,38.1,23.43
318,16,2023-04-13,0.0,13.89
319,2,2023-11-15,91.14,39.71
320,10,2023-05-03,18.66,16.87
321,9,2023-08-31,217.55,211.11
322,8,2023-10-16,98.63,79.06
323,14,2023-08-27,249.44,248.85
324,17,2023-07-08,251.87,249.1
325,11,2023-11-07,63.33,97.2
326,8,2023-03-25,0.0,8.04
327,20,2023-02-25,35.43,27.16
328,2,2023-06-09,160.65,139.64
329,25,2023-07-23,321.76,260.23
330,13,2023-02-08,48.37,36.87
331,16,2023-02-22,38.93,26.87
332,20,2023-12-17,42.08,52.23
333,8,2023-10-17,18.06,27.57
334,3,2023-06-27,289.52,243.81
335,28,2023-12-05,44.87,52.21
336,24,2023-02-05,44.78,39.11
337,33,2023-11-28,86.81,83.48
338,22,2023-01-07,27.78,39.49
339,27,2023-09-08,192.48,195.37
340,7,2023-08-10,141.57,201.99
341,24,2023-11-22,64.74,80.63
342,30,2023-12-29,73.77,41.35
343,10,2023-08-11,176.21,223.21
344,12,2023-09-25,254.08,264.09
345,18,2023-11-12,95.84,76.84
346,31,2023-08-27,229.03,204.75
347,28,2023-10-31,70.94,86.13
348,18,2023-06-15,184.69,184.84
349,16,2023-02-14,15.67,22.41
350,18,2023-08-19,156.54,142.4
351,16,2023-08-26,203.2,162.19
352,25,2023-06-22,118.88,160.12
353,2,2023-09-11,345.53,221.3
354,21,2023-04-04,31.74,34.33
355,32,2023-04-19,14.13,19.15
356,23,2023-05-13,34.85,17.39
357,22,2023-05-24,35.85,38.55
358,18,2023-10-12,117.81,93.66
359,1,2023-09-22,259.8,235.45
360,13,2023-02-13,20.48,18.88
361,16,2023-07-28,270.41,272.65
362,32,2023-10-12,22.86,45.24
363,16,2023-12-20,71.16,65.49
364,31,2023-11-27,82.87,88.48
365,32,2023-08-18,289.7,272.84
366,2,2023-02-17,9.01,21.6
367,19,2023-04-24,4.5,17.05
368,26,2023-12-21,42.26,77.87
369,16,2023-06-06,179.87,215.73
370,24,2023-08-31,129.03,132.44
371,23,2023-08-06,106.52,120.37
372,22,2023-06-30,219.54,249.19
373,30,2023-05-19,46.63,38.67
374,20,2023-05-09,35.37,23.25
375,15,2023-03-03,23.44,8.03
376,13,2023-06-11,266.87,235.86
377,8,2023-10-02,99.89,72.79
378,12,2023-04-09,19.15,6.81
379,14,2023-09-05,231.85,227.19
380,18,2023-10-29,89.26,99.95
381,19,2023-02-21,1.02,24.45
382,13,2023-06-01,126.7,139.28
383,15,2023-07-04,228.28,236.96
384,12,2023-06-04,180.55,187.48
385,1,2023-12-29,111.78,84.65
386,9,2023-05-21,0.0,27.56
387,3,2023-01-28,38.59,27.76
388,19,2023-12-24,20.84,61.08
389,9,2023-11-23,40.78,91.37
390,32,2023-02-22,34.74,19.16
391,1,2023-10-21,71.44,67.93
392,19,2023-08-29,288.35,225.86
393,31,2023-08-14,118.93,238.06
394,22,2023-04-05,44.43,35.68
395,4,2023-05-10,22.68,19.61
396,31,2023-02-28,4.77,5.01
397,5,2023-07-25,178.52,149.68
398,32,2023-02-07,5.39,7.45
399,4,2023-03-19,5.04,5.33
400,10,2023-10-16,57.46,68.56
401,20,2023-02-13,4.84,14.51
402,16,2023-03-02,14.36,16.77
403,27,2023-11-07,26.96,64.19
404,15,2023-09-25,242.96,256.45
405,25,2023-08-19,162.88,234.49
406,29,2023-06-02,294.3,265.65
407,28,2023-06-06,116.19,127.22
408,4,2023-11-09,16.67,34.33
409,7,2023-04-17,30.69,38.47
410,14,2023-05-16,35.22,25.6
411,6,2023-03-22,42.3,39.38
412,16,2023-03-30,47.77,36.63
413,5,2023-03-22,38.45,39.62
414,1,2023-07-29,186.69,184.25
415,29,2023-12-19,100.2,87.84
416,31,2023-05-30,3.17,9.21
417,3,2023-04-29,1.65,6.64
418,19,2023-12-28,94.72,96.8
419,19,2023-12-26,97.28,86.97
420,30,2023-02-06,26.9,12.57
421,15,2023-05-16,30.72,23.14
422,13,2023-08-06,272.06,161.64
423,8,2023-10-06,67.03,63.64
424,15,2023-11-28,92.25,92.31
425,10,2023-05-17,37.76,21.22
426,10,2023-02-06,14.42,6.22
427,4,2023-03-26,34.72,36.32
428,20,2023-11-01,76.85,54.34
429,19,2023-08-13,136.46,163.67
430,8,2023-08-28,254.96,256.35
431,20,2023-12-25,37.79,27.66
432,26,2023-05-20,28.32,30.73
433,33,2023-10-04,41.39,46.1
434,32,2023-08-13,209.82,205.22
435,6,2023-11-03,98.03,97.16
436,3,2023-08-10,311.41,265.04
437,21,2023-11-06,78.74,67.85
438,17,2023-01-14,59.46,35.26
439,6,2023-04-28,43.91,30.69
440,2,2023-12-11,44.67,43.4
441,18,2023-10-23,27.51,36.8
442,3,2023-03-31,1.95,13.35
443,31,2023-09-23,283.11,268.81
444,29,2023-05-23,4.07,11.62
445,12,2023-10-27,90.29,91.12
446,28,2023-11-22,102.05,90.93
447,32,2023-02-16,0.0,5.18
448,31,2023-06-28,294.14,265.39
449,27,2023-06-20,190.71,120.18
450,21,2023-12-10,51.26,44.4
451,7,2023-03-24,8.78,11.76
452,22,2023-07-30,182.81,209.58
453,32,2023-05-28,6.4,9.05
454,26,2023-10-09,50.04,46.25
455,3,2023-08-21,176.34,122.95
456,6,2023-06-11,172.1,182.74
457,17,2023-06-15,183.39,148.72
458,8,2023-07-26,178.25,147.8
459,33,2023-01-01,41.0,31.98
460,30,2023-07-31,239.73,195.77
461,4,2023-04-07,31.27,7.03
462,24,2023-11-15,54.78,69.58
463,32,2023-11-17,76.5,53.77
464,29,2023-01-27,8.36,13.84
465,14,2023-05-17,3.68,5.04
466,9,2023-05-28,23.35,38.05
467,29,2023-12-24,34.44,32.66
468,32,2023-03-04,47.9,33.91
469,2,2023-11-19,56.65,47.38
470,16,2023-12-30,53.81,42.25
471,11,2023-06-09,57.91,141.01
472,1,2023-10-10,37.73,49.06
473,27,2023-02-17,20.99,30.35
474,15,2023-02-28,43.06,35.38
475,30,2023-03-02,16.06,30.02
476,10,2023-09-13,322.3,206.92
477,19,2023-09-18,138.34,145.48
478,18,2023-08-01,151.46,204.86
479,31,2023-08-30,93.61,122.86
480,16,2023-08-22,308.07,265.89
481,10,2023-07-16,267.53,274.8
482,13,2023-11-03,0.0,25.09
483,33,2023-03-11,8.83,25.94
484,5,2023-05-22,31.81,24.54
485,27,2023-06-24,176.1,156.09
486,33,2023-05-17,4.47,16.41
487,1,2023-05-25,29.22,25.66
488,20,2023-10-28,35.4,36.22
489,32,2023-03-18,10.02,21.26
490,29,2023-10-03,130.48,98.1
491,31,2023-06-26,290.18,235.5
492,22,2023-10-10,111.29,96.45
493,25,2023-08-22,307.54,265.25
494,21,2023-04-07,20.26,10.11
495,16,2023-10-20,26.24,32.71
496,25,2023-04-30,22.45,21.88
497,27,2023-01-23,26.56,12.36
498,21,2023-08-31,240.87,270.6
499,25,2023-07-17,177.63,131.59
500,10,2023-09-11,137.32,133.2
501,3,2023-03-06,17.24,33.86
502,33,2023-10-30,76.16,98.31
503,22,2023-02-21,23.06,12.03
504,29,2023-02-21,13.07,6.44
505,30,2023-01-08,30.99,28.46
506,10,2023-07-29,258.27,218.66
507,10,2023-02-08,30.91,26.45
508,31,2023-05-16,36.1,38.16
509,22,2023-11-16,82.26,71.9
510,26,2023-11-29,87.49,61.33
511,6,2023-06-18,322.74,225.73
512,25,2023-06-12,298.16,245.41
513,32,2023-10-05,94.78,61.07
514,3,2023-11-13,60.29,69.5
515,5,2023-05-01,56.18,27.76
516,19,2023-04-27,11.43,16.52
517,6,2023-08-11,220.93,195.23
518,7,2023-11-21,65.03,57.52
519,7,2023-08-16,67.99,126.99
520,11,2023-12-22,89.66,65.69
521,20,2023-01-15,20.15,22.26
522,3,2023-06-16,121.11,155.29
523,4,2023-05-31,25.43,19.64
524,23,2023-07-11,128.97,147.87
525,28,2023-03-16,52.21,38.63
526,16,2023-09-29,208.24,220.6
527,27,2023-10-17,80.72,80.15
528,12,2023-03-29,42.98,24.02
529,12,2023-02-10,18.08,22.99
530,25,2023-11-14,56.19,54.66
531,16,2023-09-12,276.25,216.99
532,10,2023-04-29,33.2,27.93
533,30,2023-11-23,81.65,99.41
534,17,2023-08-24,120.08,181.42
535,17,2023-12-08,50.15,59.94
536,1,2023-08-27,272.18,244.16
537,19,2023-12-13,88.6,55.4
538,11,2023-02-07,33.36,18.05
539,29,2023-06-26,170.35,202.02
540,20,2023-11-24,54.95,57.79
541,28,2023-12-20,64.5,32.3
542,17,2023-08-22,138.65,212.71
543,20,2023-04-12,31.41,28.19
544,25,2023-09-05,137.83,169.94
545,7,2023-05-02,39.57,18.97
546,25,2023-10-20,85.5,54.75
547,23,2023-10-22,51.44,42.78
548,19,2023-12-25,52.16,58.15
549,19,2023-01-12,39.99,16.58
550,26,2023-05-21,3.02,10.1
551,1,2023-10-17,70.47,58.71
552,4,2023-11-07,46.24,43.94
553,32,2023-05-27,34.42,17.57
554,15,2023-11-07,19.64,51.75
555,23,2023-04-23,32.16,23.67
556,13,2023-11-14,77.89,58.48
557,17,2023-12-14,121.5,89.82
558,9,2023-11-18,73.72,27.56
559,7,2023-11-18,92.57,99.0
560,3,2023-06-08,107.97,128.27
561,29,2023-01-18,19.91,27.4
562,24,2023-03-09,1.66,8.1
563,6,2023-06-01,213.74,136.53
564,21,2023-08-01,218.31,183.58
565,12,2023-04-13,3.27,21.8
566,9,2023-10-04,74.2,64.13
567,24,2023-09-29,126.87,174.82
568,33,2023-05-20,10.75,9.65
569,11,2023-05-12,10.79,10.02
570,31,2023-06-01,151.41,145.98
571,22,2023-02-28,2.94,11.59
572,30,2023-02-08,19.02,13.21
573,10,2023-04-26,48.38,38.72
574,26,2023-10-13,74.02,98.4
575,24,2023-02-16,20.31,18.1
576,26,2023-01-08,33.9,31.9
577,17,2023-10-02,45.84,33.48
578,8,2023-08-21,258.64,252.29
579,24,2023-12-11,38.0,75.02
580,17,2023-10-27,55.82,36.95
581,25,2023-11-23,86.42,70.37
582,24,2023-02-25,34.99,39.77
583,15,2023-08-30,228.6,240.39
584,2,2023-11-14,23.03,33.18
585,21,2023-11-09,91.82,73.79
586,15,2023-11-28,88.06,90.84
587,5,2023-11-22,42.4,48.79
588,30,2023-12-25,66.23,47.27
589,20,2023-11-29,95.87,73.68
590,27,2023-03-01,8.8,26.34
591,9,2023-01-24,35.22,24.72
592,3,2023-06-05,118.38,215.44
593,32,2023-03-01,20.46,24.1
594,7,2023-05-01,25.13,25.55
595,9,2023-07-18,204.06,146.95
596,30,2023-07-09,231.47,200.07
597,27,2023-10-28,33.07,65.68
598,10,2023-08-01,203.96,196.27
599,7,2023-09-08,256.2,183.1
600,27,2023-05-24,33.94,30.04
601,3,2023-12-20,58.68,64.09
602,24,2023-04-22,51.53,36.39
603,29,2023-08-16,137.22,131.4
604,16,2023-07-05,197.91,180.81
605,7,2023-12-18,11.84,39.79
606,24,2023-10-06,35.57,37.47
607,23,2023-02-01,51.2,26.61
608,26,2023-05-22,40.88,37.54
609,13,2023-03-04,13.68,23.63
610,30,2023-02-16,32.08,30.12
611,14,2023-11-25,33.82,54.99
612,2,2023-01-26,35.84,35.08
613,22,2023-05-05,26.02,32.99
614,9,2023-10-17,66.6,84.51
615,14,2023-02-05,9.75,11.48
616,14,2023-10-28,47.45,31.53
617,14,2023-04-30,39.27,33.55
618,22,2023-03-17,0.0,8.93
619,1,2023-05-22,8.06,5.09
620,10,2023-03-08,52.78,25.77
621,17,2023-03-31,20.07,32.78
622,8,2023-12-05,61.61,52.06
623,2,2023-03-09,40.51,36.71
624,1,2023-07-03,228.83,160.9
625,16,2023-10-29,61.5,47.65
626,21,2023-01-09,33.99,28.5
627,12,2023-05-16,26.52,33.33
628,4,2023-03-06,25.03,19.84
629,27,2023-09-27,167.11,144.48
630,8,2023-02-02,17.22,21.55
631,31,2023-08-18,181.02,205.66
632,24,2023-09-20,114.64,156.84
633,7,2023-08-20,93.3,152.99
634,33,2023-04-24,36.15,27.12
635,3,2023-12-04,20.68,29.38
636,20,2023-08-23,184.44,215.53
637,2,2023-02-01,6.23,28.65
638,31,2023-07-25,147.08,235.92
639,28,2023-12-18,47.04,26.19
640,7,2023-09-09,193.13,216.52
641,29,2023-02-07,18.83,16.8
642,6,2023-06-14,173.7,162.38
643,10,2023-02-03,8.01,27.59
644,9,2023-05-21,36.81,17.84
645,21,2023-07-15,128.96,174.97
646,19,2023-08-21,346.7,253.1
647,33,2023-11-06,79.14,75.22
648,28,2023-02-20,7.27,14.49
649,8,2023-12-02,47.55,69.46
650,14,2023-08-09,226.08,193.1
651,29,2023-04-27,9.94,11.66
652,27,2023-06-23,154.28,178.07
653,30,2023-07-24,191.48,279.28
654,27,2023-02-18,17.77,25.32
655,21,2023-08-07,139.17,134.2
656,21,2023-12-07,89.17,81.61
657,17,2023-07-11,77.26,147.28
658,10,2023-12-18,50.2,86.64
659,31,2023-02-04,0.0,5.04
660,6,2023-02-13,3.2,9.19
661,6,2023-08-10,241.97,275.87
662,7,2023-07-10,262.97,227.45
663,9,2023-10-12,48.24,31.97
664,4,2023-10-28,76.12,89.85
665,22,2023-12-10,45.88,70.64
666,8,2023-07-30,131.22,130.1
667,23,2023-12-07,20.18,33.82
668,28,2023-01-27,4.24,18.33
669,19,2023-11-04,52.17,50.97
670,20,2023-06-30,179.56,252.05
671,7,2023-10-23,54.96,45.98
672,33,2023-04-19,18.74,25.11
673,10,2023-12-03,68.01,67.49
674,31,2023-04-25,0.0,18.9
675,7,2023-06-29,272.79,206.36
676,24,2023-02-28,36.64,23.64
677,18,2023-10-21,71.88,79.11
678,15,2023-08-08,230.75,251.0
679,2,2023-11-08,63.44,49.19
680,18,2023-01-15,26.57,25.13
681,12,2023-05-20,32.73,21.78
682,20,2023-06-23,70.37,142.27
683,23,2023-01-04,30.24,36.44
684,12,2023-03-15,49.53,38.35
685,26,2023-02-05,24.29,33.88
686,10,2023-11-21,67.9,60.87
687,2,2023-02-16,21.41,22.71
688,14,2023-07-12,241.18,244.28
689,27,2023-08-21,169.12,139.53
690,22,2023-03-22,37.36,35.66
691,24,2023-06-09,166.65,164.44
692,21,2023-10-18,47.75,52.36
693,6,2023-01-27,2.56,18.53
694,10,2023-03-22,15.75,12.41
695,4,2023-12-12,74.27,61.35
696,6,2023-05-20,31.9,15.41
697,29,2023-12-05,43.1,57.28
698,28,2023-09-06,186.89,148.44
699,29,2023-08-01,299.11,230.66
700,18,2023-04-21,29.19,13.01
701,33,2023-02-28,6.03,13.14
702,23,2023-08-09,202.09,224.92
703,8,2023-05-26,45.2,34.68
704,32,2023-09-27,215.08,184.77
705,20,2023-01-24,32.45,27.89
706,15,2023-07-22,99.24,197.06
707,4,2023-01-04,16.21,11.19
708,14,2023-06-04,155.19,159.77
709,14,2023-03-12,26.11,9.68
710,17,2023-05-29,20.77,25.38
711,21,2023-03-03,34.32,28.83
712,1,2023-09-12,118.05,171.76
713,28,2023-03-31,19.87,34.2
714,9,2023-07-14,153.42,130.34
715,15,2023-09-14,64.36,126.82
716,23,2023-02-06,18.46,27.61
717,26,2023-01-22,14.24,22.48
718,28,2023-01-10,3.95,9.45
719,30,2023-02-09,44.05,35.26
720,21,2023-10-22,61.03,85.8
721,28,2023-10-21,64.92,71.06
722,26,2023-12-30,117.24,96.72
723,27,2023-05-29,13.16,9.66
724,8,2023-07-27,237.97,270.85
725,2,2023-06-16,240.52,249.42
726,11,2023-11-13,87.17,94.77
727,30,2023-12-20,55.74,43.98
728,24,2023-02-15,28.44,22.34
729,28,2023-02-24,0.41,18.52
730,16,2023-08-12,249.89,262.3
731,26,2023-09-26,190.74,192.1
732,6,2023-07-22,139.31,127.65
733,20,2023-06-23,161.77,126.08
