district,year,month,population,rainfall,groundwater,temperature,water_usage,storage_capacity,urbanization_rate,region_type,water_source,rainfall_category,season,wsi,stress_level,water_stress_ratio,population_density,water_availability,high_risk_flag
Hyderabad,2015,5,8413414,1016,34.0,29,379,41,67.0,Semi-Urban,Mixed,High,Summer,0.3304,Medium,0.3606089438629876,8413.414,623.2,0
Hyderabad,2015,5,8413414,1011,31.0,27,470,44,65.0,Rural,Mixed,High,Summer,0.3449,Medium,0.4506232023010546,8413.414,619.0,0
Hyderabad,2015,5,8413414,916,44.0,27,393,51,66.0,Semi-Urban,Mixed,High,Summer,0.3282,Medium,0.40894901144641,8413.414,567.2,0
Hyderabad,2015,5,8413414,998,46.0,32,408,50,67.0,Rural,Groundwater,High,Summer,0.3284,Medium,0.3904306220095693,8413.414,617.1999999999999,0
Hyderabad,2015,5,8413414,951,38.0,30,456,41,70.0,Semi-Urban,Groundwater,High,Summer,0.3566,Medium,0.4606060606060606,8413.414,585.8000000000001,0
Hyderabad,2015,5,8413414,923,31.0,26,464,45,69.0,Urban,Groundwater,High,Summer,0.3584,Medium,0.4858638743455497,8413.414,566.1999999999999,0
Hyderabad,2015,5,8413414,919,42.0,28,487,42,71.0,Urban,Mixed,High,Summer,0.3601,Medium,0.5062370062370062,8413.414,568.1999999999999,0
Hyderabad,2015,6,8413414,1075,46.0,32,392,48,65.0,Semi-Urban,Groundwater,High,Monsoon,0.3127,Medium,0.3493761140819964,8413.414,663.4,0
Hyderabad,2015,6,8413414,1115,32.0,26,351,57,71.0,Rural,Groundwater,High,Monsoon,0.302,Medium,0.3057491289198606,8413.414,681.8,0
Hyderabad,2015,6,8413414,1109,33.0,32,484,55,65.0,Urban,Surface Water,High,Monsoon,0.3355,Medium,0.4234470691163604,8413.414,678.6,0
Hyderabad,2015,6,8413414,1098,31.0,31,480,44,69.0,Semi-Urban,Groundwater,High,Monsoon,0.3458,Medium,0.4247787610619469,8413.414,671.1999999999999,0
Hyderabad,2015,6,8413414,1077,39.0,28,487,55,67.0,Urban,Surface Water,High,Monsoon,0.3289,Medium,0.4359892569382274,8413.414,661.8,0
Hyderabad,2015,6,8413414,1080,36.0,26,492,59,67.0,Urban,Mixed,High,Monsoon,0.3264,Medium,0.4404655326768129,8413.414,662.4,0
Hyderabad,2015,6,8413414,1144,36.0,29,452,42,65.0,Urban,Surface Water,High,Monsoon,0.3213,Medium,0.3827265029635902,8413.414,700.8,0
Hyderabad,2015,7,8413414,1147,46.0,31,422,41,70.0,Semi-Urban,Surface Water,High,Monsoon,0.3144,Medium,0.3534338358458961,8413.414,706.5999999999999,0
Hyderabad,2015,7,8413414,1151,43.0,26,408,40,70.0,Urban,Surface Water,High,Monsoon,0.3045,Medium,0.3414225941422594,8413.414,707.8000000000001,0
Hyderabad,2015,7,8413414,1105,34.0,32,485,40,68.0,Semi-Urban,Surface Water,High,Monsoon,0.3458,Medium,0.425438596491228,8413.414,676.6,0
Hyderabad,2015,7,8413414,1117,44.0,31,378,45,69.0,Urban,Groundwater,High,Monsoon,0.3091,Medium,0.3253012048192771,8413.414,687.8,0
Hyderabad,2015,7,8413414,1141,38.0,28,367,41,69.0,Urban,Groundwater,High,Monsoon,0.3053,Medium,0.3110169491525423,8413.414,699.8000000000001,0
Hyderabad,2015,7,8413414,1094,45.0,26,401,55,67.0,Rural,Groundwater,High,Monsoon,0.2991,Low,0.3517543859649122,8413.414,674.4,0
Hyderabad,2015,7,8413414,1075,46.0,26,357,51,68.0,Rural,Surface Water,High,Monsoon,0.2952,Low,0.3181818181818182,8413.414,663.4,0
Hyderabad,2015,8,8413414,1112,35.0,31,439,48,69.0,Semi-Urban,Mixed,High,Monsoon,0.3295,Medium,0.382404181184669,8413.414,681.1999999999999,0
Hyderabad,2015,8,8413414,1106,35.0,32,439,40,68.0,Rural,Mixed,High,Monsoon,0.3354,Medium,0.3844133099824868,8413.414,677.6,0
Hyderabad,2015,8,8413414,1131,37.0,26,407,57,65.0,Semi-Urban,Groundwater,High,Monsoon,0.2998,Low,0.3481608212147134,8413.414,693.4,0
Hyderabad,2015,8,8413414,1185,40.0,28,444,53,66.0,Urban,Mixed,High,Monsoon,0.3031,Medium,0.3621533442088091,8413.414,727.0,0
Hyderabad,2015,8,8413414,1115,36.0,32,467,49,66.0,Urban,Groundwater,High,Monsoon,0.3322,Medium,0.4053819444444444,8413.414,683.4,0
Hyderabad,2015,8,8413414,1143,38.0,26,477,50,70.0,Rural,Surface Water,High,Monsoon,0.3195,Medium,0.4035532994923858,8413.414,701.0,0
Hyderabad,2015,8,8413414,1123,43.0,27,366,42,66.0,Rural,Surface Water,High,Monsoon,0.2973,Low,0.313624678663239,8413.414,691.0,0
Hyderabad,2015,9,8413414,1085,43.0,29,475,43,69.0,Semi-Urban,Surface Water,High,Monsoon,0.3313,Medium,0.420726306465899,8413.414,668.2,0
Hyderabad,2015,9,8413414,1121,38.0,31,484,53,68.0,Semi-Urban,Groundwater,High,Monsoon,0.3307,Medium,0.4172413793103448,8413.414,687.8000000000001,0
Hyderabad,2015,9,8413414,1138,42.0,27,406,58,65.0,Rural,Mixed,High,Monsoon,0.295,Low,0.3437764606265876,8413.414,699.5999999999999,0
Hyderabad,2015,9,8413414,1157,44.0,30,490,56,68.0,Rural,Surface Water,High,Monsoon,0.317,Medium,0.4076539101497504,8413.414,711.8,0
Hyderabad,2015,9,8413414,1148,45.0,31,441,40,69.0,Rural,Groundwater,High,Monsoon,0.3185,Medium,0.3693467336683417,8413.414,706.8,0
Hyderabad,2015,9,8413414,1101,37.0,29,346,52,68.0,Semi-Urban,Groundwater,High,Monsoon,0.3036,Medium,0.3037752414398595,8413.414,675.4,0
Hyderabad,2015,9,8413414,1177,33.0,32,392,55,69.0,Urban,Mixed,High,Monsoon,0.3109,Medium,0.3236994219653179,8413.414,719.4,0
Hyderabad,2015,10,8413414,1025,31.0,32,359,44,66.0,Rural,Surface Water,High,Winter,0.3316,Medium,0.3396404919583727,8413.414,627.4,0
Hyderabad,2015,10,8413414,1008,42.0,30,469,40,71.0,Urban,Groundwater,High,Winter,0.3481,Medium,0.4462416745956232,8413.414,621.5999999999999,0
Hyderabad,2015,10,8413414,1058,39.0,30,457,40,69.0,Urban,Groundwater,High,Winter,0.3392,Medium,0.4162112932604735,8413.414,650.4,0
Hyderabad,2015,10,8413414,1079,45.0,30,362,42,68.0,Rural,Groundwater,High,Winter,0.3091,Medium,0.3217777777777778,8413.414,665.4,0
Hyderabad,2015,10,8413414,1018,33.0,30,426,53,68.0,Urban,Mixed,High,Winter,0.3375,Medium,0.4049429657794677,8413.414,624.0,0
Hyderabad,2015,10,8413414,1028,31.0,31,484,55,69.0,Urban,Groundwater,High,Winter,0.3516,Medium,0.4566037735849056,8413.414,629.1999999999999,0
Hyderabad,2015,10,8413414,1048,44.0,31,441,49,70.0,Semi-Urban,Surface Water,High,Winter,0.331,Medium,0.4034766697163769,8413.414,646.4,0
Hyderabad,2015,11,8413414,1015,34.0,32,478,58,66.0,Rural,Mixed,High,Winter,0.3469,Medium,0.4552380952380952,8413.414,622.6,0
Hyderabad,2015,11,8413414,1009,38.0,30,344,55,71.0,Semi-Urban,Mixed,High,Winter,0.3195,Medium,0.3282442748091603,8413.414,620.6,0
Hyderabad,2015,11,8413414,1010,41.0,29,492,51,66.0,Urban,Mixed,High,Winter,0.3409,Medium,0.467680608365019,8413.414,622.4,0
Hyderabad,2015,11,8413414,1044,31.0,30,441,51,67.0,Urban,Surface Water,High,Winter,0.3386,Medium,0.4098513011152416,8413.414,638.8,0
Hyderabad,2015,11,8413414,1010,38.0,27,383,51,69.0,Urban,Groundwater,High,Winter,0.3211,Medium,0.3651096282173499,8413.414,621.2,0
Hyderabad,2015,11,8413414,1001,45.0,31,470,58,66.0,Rural,Groundwater,High,Winter,0.3344,Medium,0.448901623686724,8413.414,618.6,0
Hyderabad,2015,11,8413414,1019,43.0,27,430,41,67.0,Urban,Mixed,High,Winter,0.3272,Medium,0.4045155221072437,8413.414,628.6,0
Hyderabad,2015,12,8413414,971,40.0,30,454,52,67.0,Semi-Urban,Groundwater,High,Winter,0.3427,Medium,0.4486166007905138,8413.414,598.6,0
Hyderabad,2015,12,8413414,961,39.0,30,478,44,65.0,Rural,Mixed,High,Winter,0.352,Medium,0.4775224775224775,8413.414,592.2,0
Hyderabad,2015,12,8413414,984,33.0,26,439,55,68.0,Semi-Urban,Surface Water,High,Winter,0.3362,Medium,0.431237721021611,8413.414,603.6,0
Hyderabad,2015,12,8413414,943,44.0,30,352,56,71.0,Rural,Mixed,High,Winter,0.3245,Medium,0.3562753036437247,8413.414,583.4,0
Hyderabad,2015,12,8413414,932,39.0,28,445,56,65.0,Rural,Surface Water,High,Winter,0.3397,Medium,0.4578189300411522,8413.414,574.8,0
Hyderabad,2015,12,8413414,971,41.0,28,440,51,69.0,Semi-Urban,Mixed,High,Winter,0.3374,Medium,0.4343534057255676,8413.414,599.0,0
Hyderabad,2015,12,8413414,991,39.0,32,368,53,71.0,Rural,Groundwater,High,Winter,0.331,Medium,0.3569350145489816,8413.414,610.2,0
Hyderabad,2016,1,8514374,964,34.5,30,444,51,65.8,Semi-Urban,Mixed,High,Winter,0.3506,Medium,0.4442221110555278,8514.374,592.1999999999999,0
Hyderabad,2016,1,8514374,1001,36.5,26,384,52,69.8,Semi-Urban,Surface Water,High,Winter,0.3265,Medium,0.3697640828117477,8514.374,615.2,0
Hyderabad,2016,1,8514374,996,36.5,31,467,44,67.8,Urban,Groundwater,High,Winter,0.3559,Medium,0.451862602805999,8514.374,612.2,0
Hyderabad,2016,1,8514374,989,44.5,29,354,49,66.8,Urban,Groundwater,High,Winter,0.3188,Medium,0.3421942967617206,8514.374,611.1999999999999,0
Hyderabad,2016,1,8514374,920,43.5,30,482,57,67.8,Urban,Mixed,High,Winter,0.3548,Medium,0.4997407983411094,8514.374,569.4,0
Hyderabad,2016,1,8514374,967,42.5,30,428,47,69.8,Semi-Urban,Mixed,High,Winter,0.3449,Medium,0.4235526966848095,8514.374,597.1999999999999,0
Hyderabad,2016,1,8514374,978,44.5,32,390,43,68.8,Rural,Groundwater,High,Winter,0.3387,Medium,0.3810454323400097,8514.374,604.5999999999999,0
Hyderabad,2016,2,8514374,997,32.5,30,453,46,67.8,Urban,Mixed,High,Winter,0.3539,Medium,0.4395924308588064,8514.374,611.1999999999999,0
Hyderabad,2016,2,8514374,989,36.5,31,486,57,68.8,Rural,Mixed,High,Winter,0.3552,Medium,0.4734534827082318,8514.374,608.0,0
Hyderabad,2016,2,8514374,974,41.5,30,472,48,71.8,Rural,Mixed,High,Winter,0.3552,Medium,0.4643384161337924,8514.374,601.0,0
Hyderabad,2016,2,8514374,900,42.5,29,458,40,70.8,Semi-Urban,Mixed,Medium,Winter,0.3635,Medium,0.4854266030736619,8514.374,557.0,0
Hyderabad,2016,2,8514374,960,41.5,30,505,52,69.8,Rural,Mixed,High,Winter,0.3599,Medium,0.5037406483790524,8514.374,592.6,0
Hyderabad,2016,2,8514374,964,45.5,31,492,59,65.8,Semi-Urban,Groundwater,High,Winter,0.3472,Medium,0.4868876793666502,8514.374,596.6,0
Hyderabad,2016,2,8514374,961,38.5,26,359,54,71.8,Semi-Urban,Mixed,High,Winter,0.3265,Medium,0.3588205897051474,8514.374,592.0,0
Hyderabad,2016,3,8514374,951,35.5,28,489,50,68.8,Semi-Urban,Mixed,High,Summer,0.36,Medium,0.4951898734177215,8514.374,584.8000000000001,0
Hyderabad,2016,3,8514374,986,37.5,31,497,47,66.8,Semi-Urban,Surface Water,High,Summer,0.3599,Medium,0.4851146900927282,8514.374,606.6,0
Hyderabad,2016,3,8514374,940,39.5,29,373,44,65.8,Semi-Urban,Groundwater,High,Summer,0.3365,Medium,0.3804181540030596,8514.374,579.8,0
Hyderabad,2016,3,8514374,987,35.5,32,490,48,65.8,Semi-Urban,Surface Water,High,Summer,0.3608,Medium,0.4787493893502687,8514.374,606.4,0
Hyderabad,2016,3,8514374,1002,42.5,31,380,45,66.8,Rural,Surface Water,High,Summer,0.3301,Medium,0.3634624581539933,8514.374,618.1999999999999,0
Hyderabad,2016,3,8514374,1012,38.5,27,355,57,67.8,Urban,Groundwater,High,Summer,0.3146,Medium,0.3376129339039467,8514.374,622.5999999999999,0
Hyderabad,2016,3,8514374,934,35.5,26,491,54,65.8,Urban,Mixed,High,Summer,0.354,Medium,0.5059247810407007,8514.374,574.6,0
Hyderabad,2016,4,8514374,933,44.5,26,431,56,69.8,Urban,Groundwater,High,Summer,0.3361,Medium,0.4404701073071027,8514.374,577.5999999999999,0
Hyderabad,2016,4,8514374,930,34.5,32,351,56,69.8,Rural,Groundwater,High,Summer,0.3426,Medium,0.3635422061108234,8514.374,571.8,0
Hyderabad,2016,4,8514374,904,34.5,32,398,44,66.8,Rural,Surface Water,High,Summer,0.3589,Medium,0.4236295902075572,8514.374,556.1999999999999,0
Hyderabad,2016,4,8514374,987,34.5,31,455,40,67.8,Semi-Urban,Groundwater,High,Summer,0.3588,Medium,0.4449877750611247,8514.374,605.9999999999999,0
Hyderabad,2016,4,8514374,1018,33.5,31,458,47,66.8,Urban,Groundwater,High,Summer,0.3513,Medium,0.4351543942992874,8514.374,624.1999999999999,0
Hyderabad,2016,4,8514374,1007,39.5,27,463,42,67.8,Rural,Groundwater,High,Summer,0.3434,Medium,0.4420047732696897,8514.374,619.9999999999999,0
Hyderabad,2016,4,8514374,958,30.5,31,478,56,71.8,Semi-Urban,Groundwater,High,Summer,0.3678,Medium,0.4830722587165235,8514.374,587.0,0
Hyderabad,2016,5,8514374,966,44.5,30,430,53,66.8,Urban,Surface Water,High,Summer,0.3375,Medium,0.4251112209589718,8514.374,597.4,0
Hyderabad,2016,5,8514374,1022,36.5,31,383,57,66.8,Semi-Urban,Mixed,High,Summer,0.3277,Medium,0.3614912694667296,8514.374,627.8,0
Hyderabad,2016,5,8514374,1005,40.5,28,397,45,65.8,Urban,Groundwater,High,Summer,0.328,Medium,0.3793597706641184,8514.374,619.2,0
Hyderabad,2016,5,8514374,1005,36.5,27,396,56,69.8,Urban,Mixed,High,Summer,0.3283,Medium,0.3798561151079136,8514.374,617.6,0
Hyderabad,2016,5,8514374,929,39.5,26,419,56,68.8,Urban,Groundwater,High,Summer,0.3383,Medium,0.4321815368746777,8514.374,573.1999999999999,0
Hyderabad,2016,5,8514374,999,35.5,30,471,50,67.8,Rural,Surface Water,High,Summer,0.3522,Medium,0.4548527281506518,8514.374,613.6,0
Hyderabad,2016,5,8514374,994,36.5,32,463,55,68.8,Semi-Urban,Groundwater,High,Summer,0.3529,Medium,0.4488608822103732,8514.374,611.0,0
Hyderabad,2016,6,8514374,1096,38.5,28,441,42,67.8,Semi-Urban,Mixed,High,Monsoon,0.3287,Medium,0.3883751651254953,8514.374,673.0,0
Hyderabad,2016,6,8514374,1161,31.5,30,467,58,67.8,Rural,Surface Water,High,Monsoon,0.3271,Medium,0.3912861332216171,8514.374,709.2,0
Hyderabad,2016,6,8514374,1062,31.5,29,406,45,65.8,Urban,Mixed,High,Monsoon,0.3323,Medium,0.3709456372772955,8514.374,649.8,0
Hyderabad,2016,6,8514374,1053,39.5,31,379,56,70.8,Urban,Mixed,High,Monsoon,0.3237,Medium,0.3465935070873343,8514.374,647.5999999999999,0
Hyderabad,2016,6,8514374,1171,40.5,26,371,54,65.8,Urban,Mixed,High,Monsoon,0.2894,Low,0.3059793814432989,8514.374,718.8000000000001,0
Hyderabad,2016,6,8514374,1178,43.5,28,408,55,69.8,Semi-Urban,Groundwater,High,Monsoon,0.3003,Medium,0.3337423312883436,8514.374,724.1999999999999,0
Hyderabad,2016,6,8514374,1143,33.5,26,353,56,67.8,Semi-Urban,Mixed,High,Monsoon,0.298,Low,0.2997876857749469,8514.374,699.1999999999999,0
Hyderabad,2016,7,8514374,1167,44.5,32,401,53,66.8,Semi-Urban,Groundwater,High,Monsoon,0.3055,Medium,0.3307216494845361,8514.374,717.9999999999999,0
Hyderabad,2016,7,8514374,1142,37.5,27,454,53,67.8,Urban,Groundwater,High,Monsoon,0.3179,Medium,0.3845828038966539,8514.374,700.1999999999999,0
Hyderabad,2016,7,8514374,1099,32.5,32,496,53,67.8,Urban,Mixed,High,Monsoon,0.3477,Medium,0.4379690949227373,8514.374,672.4,0
Hyderabad,2016,7,8514374,1092,32.5,28,360,44,68.8,Urban,Surface Water,High,Monsoon,0.3191,Medium,0.3198578409595735,8514.374,668.1999999999999,0
Hyderabad,2016,7,8514374,1149,38.5,26,431,51,65.8,Semi-Urban,Surface Water,High,Monsoon,0.3082,Medium,0.3626419856962558,8514.374,704.8,0
Hyderabad,2016,7,8514374,1066,33.5,26,413,49,67.8,Urban,Groundwater,High,Monsoon,0.3251,Medium,0.3752839618355293,8514.374,653.0,0
Hyderabad,2016,7,8514374,1088,44.5,26,428,49,65.8,Urban,Groundwater,High,Monsoon,0.3118,Medium,0.3775915306572563,8514.374,670.5999999999999,0
Hyderabad,2016,8,8514374,1094,39.5,27,404,52,70.8,Rural,Surface Water,High,Monsoon,0.3166,Medium,0.3561040105773468,8514.374,672.1999999999999,0
Hyderabad,2016,8,8514374,1122,35.5,30,415,55,68.8,Semi-Urban,Mixed,High,Monsoon,0.3211,Medium,0.3582218385843763,8514.374,687.4,0
Hyderabad,2016,8,8514374,1205,43.5,31,439,48,71.8,Semi-Urban,Surface Water,High,Monsoon,0.3139,Medium,0.3513405362144858,8514.374,740.4,0
Hyderabad,2016,8,8514374,1070,37.5,30,381,45,66.8,Semi-Urban,Surface Water,High,Monsoon,0.3231,Medium,0.3437077131258457,8514.374,657.0,0
Hyderabad,2016,8,8514374,1195,33.5,32,479,56,70.8,Semi-Urban,Surface Water,High,Monsoon,0.3304,Medium,0.3895892639284262,8514.374,730.4,0
Hyderabad,2016,8,8514374,1149,38.5,27,424,50,66.8,Rural,Groundwater,High,Monsoon,0.3103,Medium,0.3567522086663862,8514.374,704.8,0
Hyderabad,2016,8,8514374,1132,41.5,30,415,43,67.8,Rural,Surface Water,High,Monsoon,0.3186,Medium,0.3533418475947211,8514.374,695.8,0
Hyderabad,2016,9,8514374,1140,30.5,29,392,40,66.8,Rural,Mixed,High,Monsoon,0.3223,Medium,0.3346137430644473,8514.374,696.2,0
Hyderabad,2016,9,8514374,1114,35.5,30,471,50,71.8,Rural,Mixed,High,Monsoon,0.339,Medium,0.409387222946545,8514.374,682.6,0
Hyderabad,2016,9,8514374,1213,40.5,28,479,57,66.8,Urban,Surface Water,High,Monsoon,0.3082,Medium,0.3818254284575528,8514.374,744.0,0
Hyderabad,2016,9,8514374,1064,39.5,29,475,52,66.8,Urban,Groundwater,High,Monsoon,0.3353,Medium,0.4300588501584427,8514.374,654.1999999999999,0
Hyderabad,2016,9,8514374,1185,44.5,30,418,56,65.8,Rural,Groundwater,High,Monsoon,0.2997,Low,0.3396993092238927,8514.374,728.8,0
Hyderabad,2016,9,8514374,1126,37.5,31,439,56,69.8,Urban,Mixed,High,Monsoon,0.3258,Medium,0.3769858308286818,8514.374,690.6,0
Hyderabad,2016,9,8514374,1158,41.5,27,423,50,65.8,Semi-Urban,Groundwater,High,Monsoon,0.3048,Medium,0.3523531861724281,8514.374,711.4,0
Hyderabad,2016,10,8514374,1086,32.5,28,346,47,70.8,Urban,Mixed,High,Winter,0.3177,Medium,0.3090665475658776,8514.374,664.6,0
Hyderabad,2016,10,8514374,1077,40.5,26,359,42,69.8,Urban,Groundwater,High,Winter,0.3111,Medium,0.3209655789003129,8514.374,662.4,0
Hyderabad,2016,10,8514374,1018,32.5,28,423,43,65.8,Urban,Surface Water,High,Winter,0.3403,Medium,0.4022824536376604,8514.374,623.8,0
Hyderabad,2016,10,8514374,1019,37.5,32,449,53,67.8,Urban,Mixed,High,Winter,0.3453,Medium,0.4245862884160756,8514.374,626.4,0
Hyderabad,2016,10,8514374,1037,44.5,32,498,56,65.8,Rural,Mixed,High,Winter,0.3419,Medium,0.4600461893764434,8514.374,639.9999999999999,0
Hyderabad,2016,10,8514374,1056,34.5,28,384,58,70.8,Urban,Mixed,High,Winter,0.3223,Medium,0.3518094365551992,8514.374,647.4,0
Hyderabad,2016,10,8514374,1049,36.5,28,387,59,71.8,Urban,Mixed,High,Winter,0.3224,Medium,0.3561895996318454,8514.374,644.0,0
Hyderabad,2016,11,8514374,1038,33.5,31,500,43,69.8,Semi-Urban,Groundwater,High,Winter,0.3617,Medium,0.4662004662004662,8514.374,636.1999999999999,0
Hyderabad,2016,11,8514374,1071,30.5,30,500,40,70.8,Rural,Mixed,High,Winter,0.3602,Medium,0.4535147392290249,8514.374,654.8000000000001,0
Hyderabad,2016,11,8514374,1046,39.5,30,468,49,65.8,Semi-Urban,Mixed,High,Winter,0.3391,Medium,0.4307409111826967,8514.374,643.4,0
Hyderabad,2016,11,8514374,1027,44.5,32,454,59,71.8,Urban,Mixed,High,Winter,0.3391,Medium,0.4233100233100233,8514.374,633.9999999999999,0
Hyderabad,2016,11,8514374,1013,34.5,30,392,43,68.8,Urban,Groundwater,High,Winter,0.3398,Medium,0.373867429661421,8514.374,621.5999999999999,0
Hyderabad,2016,11,8514374,1005,44.5,28,381,50,67.8,Semi-Urban,Mixed,High,Winter,0.3203,Medium,0.3626844359828653,8514.374,620.8,0
Hyderabad,2016,11,8514374,1001,40.5,31,419,47,70.8,Semi-Urban,Groundwater,High,Winter,0.343,Medium,0.4019184652278177,8514.374,616.8000000000001,0
Hyderabad,2016,12,8514374,974,36.5,32,435,53,67.8,Urban,Surface Water,High,Winter,0.3503,Medium,0.4300543746910529,8514.374,599.0,0
Hyderabad,2016,12,8514374,921,37.5,31,456,47,68.8,Semi-Urban,Mixed,High,Winter,0.3634,Medium,0.4752475247524752,8514.374,567.6,0
Hyderabad,2016,12,8514374,1015,41.5,29,413,44,69.8,Urban,Surface Water,High,Winter,0.3352,Medium,0.3905437352245863,8514.374,625.6,0
Hyderabad,2016,12,8514374,999,39.5,26,396,53,65.8,Urban,Mixed,High,Winter,0.3217,Medium,0.3809523809523809,8514.374,615.1999999999999,0
Hyderabad,2016,12,8514374,930,30.5,31,446,53,68.8,Rural,Surface Water,High,Winter,0.3641,Medium,0.4638585543421737,8514.374,570.2,0
Hyderabad,2016,12,8514374,1007,30.5,32,400,58,71.8,Semi-Urban,Mixed,High,Winter,0.3458,Medium,0.3851709195955705,8514.374,616.4,0
Hyderabad,2016,12,8514374,964,38.5,30,482,49,68.8,Rural,Surface Water,High,Winter,0.3582,Medium,0.4803188839063279,8514.374,593.8,0
Hyderabad,2017,1,8615335,979,38.0,28,413,59,66.6,Urban,Groundwater,High,Winter,0.3355,Medium,0.4056974459724951,8615.335,602.6,0
Hyderabad,2017,1,8615335,1009,31.0,32,441,56,68.6,Rural,Mixed,High,Winter,0.3551,Medium,0.4236311239193083,8615.335,617.8,0
Hyderabad,2017,1,8615335,1006,35.0,26,438,40,66.6,Rural,Mixed,High,Winter,0.3449,Medium,0.4203454894433781,8615.335,617.6,0
Hyderabad,2017,1,8615335,988,40.0,31,504,57,70.6,Urban,Mixed,High,Winter,0.3613,Medium,0.4897959183673469,8615.335,608.8,0
