Res_ID,District_ID,Date,Current_Capacity_TMC,Max_Capacity_TMC
76,24,2023-09-18,25.45,29.58
77,14,2023-02-23,0.1,15.09
78,5,2023-06-09,18.15,21.18
79,5,2023-06-07,8.08,10.73
80,31,2023-01-27,3.07,14.49
81,7,2023-03-20,1.19,15.02
82,15,2023-11-28,17.04,27.76
83,21,2023-01-26,3.93,16.59
84,13,2023-07-25,7.73,11.91
85,29,2023-02-28,11.83,29.1
86,21,2023-11-18,19.09,32.14
87,26,2023-10-01,12.14,22.8
88,5,2023-01-20,10.69,23.48
89,29,2023-08-19,9.31,15.98
90,29,2023-10-03,16.13,28.76
91,4,2023-03-14,3.77,26.14
92,15,2023-11-24,3.38,11.3
93,20,2023-11-18,1.55,6.13
94,18,2023-07-02,20.43,25.66
95,28,2023-09-20,19.3,29.57
96,19,2023-05-15,5.75,18.3
97,27,2023-08-31,8.81,10.64
98,19,2023-01-13,5.83,17.09
99,15,2023-08-05,9.35,15.39
100,28,2023-06-02,16.34,19.42
101,2,2023-02-03,7.34,15.07
102,28,2023-04-22,3.59,11.83
103,9,2023-11-10,20.41,25.06
104,21,2023-09-03,7.49,11.65
105,14,2023-09-13,19.54,28.42
106,33,2023-12-05,6.26,16.78
107,14,2023-03-02,6.13,32.67
108,23,2023-10-26,7.44,12.18
109,32,2023-07-07,21.04,26.89
110,29,2023-12-28,14.92,26.2
111,11,2023-11-04,8.71,15.63
112,10,2023-12-06,5.74,10.24
113,29,2023-04-30,2.41,5.84
114,7,2023-09-18,5.49,9.12
115,26,2023-10-14,23.4,31.27
116,14,2023-12-30,15.46,25.92
117,3,2023-03-11,1.87,6.81
118,6,2023-06-19,5.71,8.54
119,24,2023-12-28,12.33,17.9
120,20,2023-11-25,15.27,31.8
121,11,2023-04-27,0.4,7.65
122,15,2023-03-31,1.42,5.26
123,20,2023-02-16,6.45,24.04
124,25,2023-07-10,5.3,12.16
125,5,2023-10-09,19.19,25.34
126,23,2023-11-17,7.28,22.09
127,17,2023-10-03,5.54,15.78
128,16,2023-10-26,17.42,28.58
129,28,2023-07-19,8.2,13.86
130,2,2023-08-27,4.2,7.33
131,14,2023-06-03,15.05,19.72
132,19,2023-07-16,16.06,23.44
133,31,2023-12-30,13.46,28.92
134,17,2023-07-19,11.27,18.0
135,12,2023-03-04,12.45,31.43
136,23,2023-11-20,2.77,10.95
137,23,2023-10-06,6.79,13.87
138,19,2023-11-29,10.22,21.42
139,6,2023-11-18,11.79,18.27
140,32,2023-05-18,4.29,12.78
141,8,2023-08-06,20.22,25.88
142,5,2023-08-15,12.68,17.13
143,1,2023-06-22,10.16,17.12
144,1,2023-03-24,0.1,11.02
145,11,2023-02-09,3.25,7.7
146,33,2023-12-07,19.98,27.28
147,7,2023-07-27,5.52,11.83
148,5,2023-11-27,10.8,27.87
149,19,2023-02-20,1.0,13.17
150,15,2023-06-03,12.1,14.14
151,18,2023-12-08,6.5,17.13
152,31,2023-07-17,14.82,20.85
153,4,2023-12-28,19.23,27.53
154,17,2023-10-15,15.46,25.73
155,14,2023-12-22,9.46,27.47
156,32,2023-08-19,10.36,16.9
157,19,2023-01-14,11.38,31.35
158,9,2023-10-30,10.05,15.93
159,9,2023-10-02,15.26,19.49
160,26,2023-05-28,2.71,14.69
161,16,2023-04-14,8.78,16.61
162,2,2023-03-19,16.59,32.28
163,28,2023-11-21,21.04,31.48
164,23,2023-01-16,0.1,9.01
165,25,2023-12-29,7.35,16.85
166,12,2023-03-01,0.67,14.4
167,13,2023-08-01,8.63,16.51
168,25,2023-08-20,8.65,16.41
169,30,2023-03-05,3.25,23.18
170,25,2023-08-01,12.15,22.93
171,27,2023-08-11,23.94,31.94
172,5,2023-01-01,5.51,28.57
173,9,2023-06-10,16.07,26.97
174,26,2023-05-04,8.69,25.03
175,18,2023-03-31,10.26,23.82
176,3,2023-03-10,7.64,27.58
177,9,2023-03-10,0.73,5.68
178,15,2023-05-18,2.97,17.82
179,3,2023-02-07,3.65,14.39
180,14,2023-08-13,11.43,18.97
181,28,2023-10-11,17.78,27.16
182,15,2023-08-04,10.21,11.48
183,32,2023-07-03,11.43,22.02
184,2,2023-02-18,7.84,16.29
185,31,2023-08-20,11.3,20.06
186,5,2023-06-17,18.98,23.14
187,10,2023-11-22,2.09,8.12
188,20,2023-05-22,3.1,11.44
189,26,2023-03-03,1.69,11.46
190,18,2023-05-31,0.1,9.41
191,2,2023-11-12,14.5,17.89
192,11,2023-04-19,7.2,27.27
193,16,2023-06-29,4.76,5.53
194,5,2023-08-23,13.69,15.34
195,20,2023-07-22,15.17,19.1
196,24,2023-08-11,1.34,6.91
197,20,2023-03-13,13.64,32.03
198,25,2023-01-27,8.18,24.8
199,8,2023-10-09,21.2,31.06
200,25,2023-05-07,10.44,23.49
201,32,2023-03-07,7.05,23.02
202,25,2023-04-22,0.84,13.82
203,5,2023-10-18,13.58,21.19
204,23,2023-11-26,1.18,6.09
205,25,2023-11-10,10.01,15.73
206,22,2023-07-02,7.45,8.66
207,11,2023-11-24,7.66,11.08
208,12,2023-09-06,11.19,18.93
209,29,2023-07-12,10.23,16.59
210,17,2023-02-17,0.1,14.3
211,20,2023-11-08,8.4,25.72
212,3,2023-01-14,2.79,6.58
213,14,2023-10-08,7.46,15.44
214,21,2023-01-02,9.79,28.32
215,12,2023-06-21,2.52,6.2
216,22,2023-02-02,4.79,24.61
217,14,2023-05-19,7.11,20.59
218,19,2023-12-16,9.03,15.68
219,17,2023-10-09,13.28,22.98
220,26,2023-09-04,9.97,17.45
221,10,2023-04-03,1.05,29.62
222,15,2023-10-21,18.44,23.82
223,1,2023-06-03,16.06,29.77
224,31,2023-05-04,8.96,18.37
225,15,2023-02-03,5.47,15.03
226,17,2023-07-04,1.48,6.57
227,18,2023-07-13,20.47,24.2
228,6,2023-07-11,19.58,31.8
229,31,2023-05-30,12.04,26.73
230,13,2023-03-18,0.37,12.94
231,23,2023-02-17,5.07,11.58
232,8,2023-05-14,8.99,19.87
233,30,2023-09-27,2.77,6.87
234,30,2023-10-29,12.52,19.76
235,21,2023-04-20,2.47,21.16
236,5,2023-03-10,3.98,16.3
237,1,2023-05-29,6.27,25.47
238,1,2023-10-26,9.37,20.92
239,21,2023-05-27,2.34,20.45
240,16,2023-08-14,4.57,7.24
241,32,2023-11-30,16.6,32.02
242,28,2023-08-06,21.16,29.3
243,7,2023-09-21,26.6,29.17
244,13,2023-01-27,0.51,14.12
245,24,2023-09-15,23.12,31.33
246,4,2023-01-31,6.52,21.21
247,7,2023-12-23,10.03,25.11
248,31,2023-05-05,8.04,15.96
249,6,2023-06-09,14.29,17.59
250,14,2023-10-26,10.82,18.05
251,6,2023-06-16,7.98,11.73
252,6,2023-02-03,3.13,15.16
253,17,2023-04-28,0.1,13.83
254,28,2023-09-04,5.61,7.6
255,27,2023-03-29,2.34,16.72
256,7,2023-01-08,0.91,12.61
257,32,2023-10-08,11.91,17.36
258,5,2023-10-08,3.25,7.53
259,30,2023-02-19,13.27,26.95
260,3,2023-11-11,9.46,16.1
261,26,2023-11-20,3.91,15.1
262,21,2023-08-05,13.26,24.32
263,20,2023-03-07,3.48,24.29
264,22,2023-08-21,4.68,8.63
265,4,2023-07-28,8.6,19.64
266,1,2023-03-15,9.47,28.74
267,28,2023-10-24,11.32,16.18
268,13,2023-05-06,11.29,29.46
269,5,2023-07-10,3.06,7.05
270,17,2023-04-02,2.76,20.31
271,13,2023-01-07,0.1,7.87
272,26,2023-01-18,8.53,21.46
273,4,2023-04-05,0.1,6.07
274,13,2023-01-28,1.03,7.84
275,12,2023-09-15,2.23,6.05
276,28,2023-06-21,8.46,11.48
277,22,2023-12-23,14.1,28.3
278,2,2023-12-12,14.17,20.34
279,21,2023-03-12,4.82,13.72
280,11,2023-05-28,13.6,26.29
281,7,2023-02-19,3.62,21.45
282,19,2023-03-20,3.66,17.71
283,2,2023-07-26,5.71,9.86
284,27,2023-09-03,17.54,25.73
285,3,2023-02-22,8.47,29.76
286,21,2023-02-08,1.3,21.33
287,17,2023-06-13,16.4,20.75
288,10,2023-01-10,11.81,26.6
289,7,2023-07-25,19.5,25.66
290,28,2023-05-08,1.19,9.29
291,14,2023-09-23,25.94,31.98
292,10,2023-03-07,0.1,14.7
293,9,2023-03-11,13.93,29.1
294,18,2023-01-20,0.1,7.32
295,3,2023-06-13,8.48,13.07
296,15,2023-10-28,10.39,19.58
297,9,2023-04-05,3.14,11.6
298,12,2023-01-25,10.53,24.15
299,24,2023-07-13,6.01,10.57
300,9,2023-12-02,7.12,9.06
301,2,2023-02-18,3.26,8.8
302,3,2023-02-08,3.3,15.2
303,8,2023-04-17,11.27,21.22
304,17,2023-10-01,5.38,21.73
305,20,2023-04-18,4.69,24.13
306,15,2023-10-22,12.58,24.67
307,7,2023-04-09,12.42,26.88
308,15,2023-11-25,3.73,5.88
309,12,2023-07-06,15.03,21.36
310,12,2023-09-22,22.15,29.62
311,25,2023-03-01,3.79,26.24
312,14,2023-03-23,1.77,23.17
313,16,2023-11-03,8.94,18.85
314,17,2023-06-21,22.4,29.1
315,27,2023-12-14,6.32,15.08
316,19,2023-06-20,11.64,17.78
317,9,2023-04-21,2.35,14.63
318,20,2023-04-06,5.0,16.47
319,33,2023-07-24,22.26,28.65
320,20,2023-06-02,2.17,6.84
321,29,2023-08-08,30.24,31.42
322,1,2023-03-30,11.26,22.37
323,17,2023-10-26,0.47,4.83
324,33,2023-08-09,7.11,10.5
325,28,2023-04-09,10.07,23.03
326,18,2023-03-31,5.01,15.56
327,4,2023-10-26,4.24,10.57
328,23,2023-05-07,14.03,28.31
329,28,2023-08-21,24.57,31.47
330,31,2023-11-17,7.72,14.84
331,16,2023-05-22,14.13,24.77
332,24,2023-04-01,4.87,13.73
333,31,2023-04-29,6.02,16.03
334,23,2023-07-27,20.5,27.75
335,6,2023-06-21,25.07,32.87
336,12,2023-07-16,16.63,21.68
337,26,2023-07-09,2.8,7.33
338,22,2023-10-16,3.63,6.38
339,5,2023-05-17,2.95,15.35
340,32,2023-07-19,5.41,10.61
341,11,2023-07-09,13.29,17.98
342,16,2023-11-24,11.33,21.24
343,33,2023-02-01,2.76,9.63
344,27,2023-08-02,21.23,26.16
345,20,2023-02-23,3.33,11.7
346,18,2023-08-31,8.85,14.4
347,24,2023-04-23,5.5,17.5
348,16,2023-07-27,14.27,22.95
349,24,2023-03-23,0.15,7.65
350,19,2023-08-15,28.78,31.5
351,18,2023-07-21,15.05,27.84
352,28,2023-06-12,15.78,16.76
353,15,2023-06-23,20.1,28.88
354,14,2023-10-15,13.75,20.8
355,27,2023-03-07,11.59,28.47
356,22,2023-05-08,9.08,20.28
357,10,2023-05-29,7.88,28.95
358,13,2023-12-29,0.1,6.45
359,25,2023-09-10,20.08,23.93
360,10,2023-06-02,11.86,19.52
361,7,2023-06-23,10.06,14.38
362,31,2023-02-11,1.33,14.58
363,11,2023-11-25,21.63,28.21
364,30,2023-11-27,8.48,20.81
365,27,2023-04-11,1.66,8.23
366,15,2023-06-15,5.02,8.44
367,18,2023-04-19,3.18,12.78
368,19,2023-07-30,10.5,14.05
369,22,2023-09-14,30.37,32.23
370,28,2023-05-07,3.24,13.19
371,2,2023-07-31,9.93,12.65
372,7,2023-07-21,8.66,13.8
373,10,2023-06-01,9.39,16.05
374,31,2023-10-30,4.32,7.27
375,16,2023-11-12,5.74,9.67
376,5,2023-08-01,13.85,15.38
377,7,2023-07-01,17.54,26.09
378,15,2023-12-11,9.2,12.97
379,33,2023-02-12,5.96,29.43
380,7,2023-07-21,9.73,11.64
381,33,2023-12-02,8.29,12.91
382,13,2023-12-22,1.07,8.97
383,30,2023-02-15,5.62,16.63
384,2,2023-05-06,9.57,26.89
385,2,2023-09-12,25.5,27.78
386,14,2023-08-31,6.59,13.98
387,9,2023-07-14,4.56,7.85
388,4,2023-08-30,6.49,13.44
389,11,2023-01-03,7.05,29.36
390,7,2023-05-21,1.4,8.04
391,28,2023-09-04,10.36,12.47
392,2,2023-10-12,9.02,16.76
393,9,2023-07-17,17.11,25.16
394,18,2023-10-21,6.21,17.29
395,14,2023-03-02,11.81,33.4
396,9,2023-03-04,13.64,28.18
397,19,2023-07-23,9.2,16.92
398,13,2023-10-31,6.33,13.31
399,20,2023-08-15,13.96,18.55
400,26,2023-04-05,0.1,6.96
401,21,2023-11-25,5.6,11.6
402,18,2023-03-15,3.14,13.11
403,11,2023-07-18,8.51,15.34
404,19,2023-06-26,21.77,25.88
405,26,2023-04-16,2.02,17.2
406,13,2023-11-03,1.91,6.57
407,7,2023-08-24,18.58,23.02
408,9,2023-10-27,7.37,19.31
409,20,2023-01-06,5.73,32.49
410,14,2023-07-22,16.24,23.75
411,17,2023-09-16,24.39,27.21
412,6,2023-12-08,9.34,17.13
413,8,2023-04-03,8.99,19.76
414,27,2023-12-26,9.87,20.52
415,25,2023-05-30,10.84,31.02
416,30,2023-02-15,0.66,7.06
417,27,2023-08-20,23.25,31.64
418,2,2023-07-30,24.18,26.52
419,15,2023-04-22,5.61,28.42
420,22,2023-04-23,1.7,12.85
421,8,2023-01-17,2.13,6.4
422,7,2023-07-19,10.1,14.4
423,7,2023-03-28,0.72,14.37
424,23,2023-10-20,20.96,28.33
425,2,2023-02-28,1.86,5.81
426,26,2023-05-07,9.48,30.44
427,18,2023-10-27,0.95,6.6
428,3,2023-02-11,5.34,20.61
429,13,2023-04-26,5.63,22.49
430,15,2023-05-20,3.48,23.25
431,18,2023-04-21,0.1,6.66
432,31,2023-12-07,10.0,17.54
433,27,2023-09-04,13.15,18.29
434,14,2023-12-18,10.13,16.88
435,18,2023-10-01,10.19,28.43
436,7,2023-05-25,11.84,28.31
437,3,2023-10-16,4.62,11.41
438,17,2023-02-15,2.08,11.76
439,4,2023-02-06,0.31,17.98
440,28,2023-09-10,20.68,22.71
441,14,2023-01-20,3.39,20.46
442,5,2023-05-09,4.23,17.07
443,6,2023-02-23,2.32,11.04
444,26,2023-01-06,1.92,20.09
445,19,2023-10-24,11.91,21.91
446,6,2023-01-13,5.49,11.0
447,4,2023-06-09,10.0,23.39
448,11,2023-01-20,15.09,30.24
449,10,2023-09-29,1.35,5.91
450,27,2023-08-02,18.36,21.82
451,8,2023-07-26,27.92,32.41
452,3,2023-02-07,6.84,23.64
453,3,2023-05-07,2.18,14.62
454,19,2023-03-15,8.48,26.29
455,8,2023-04-13,6.64,29.99
456,17,2023-09-14,10.32,14.21
457,22,2023-06-04,10.79,16.9
458,17,2023-03-21,5.42,19.39
459,4,2023-04-18,3.21,27.0
460,21,2023-04-12,3.67,17.21
461,5,2023-08-06,8.09,9.87
462,4,2023-12-23,1.99,9.09
463,31,2023-10-17,3.0,9.94
464,7,2023-09-06,12.57,16.31
465,7,2023-04-16,12.3,26.67
466,25,2023-01-31,0.1,5.93
467,6,2023-06-15,13.4,23.39
468,31,2023-02-20,9.24,18.24
469,6,2023-09-11,7.8,11.23
470,8,2023-04-15,7.04,20.34
471,9,2023-12-28,1.86,5.79
472,7,2023-10-26,9.37,22.87
473,20,2023-01-09,8.06,18.14
474,9,2023-06-05,17.82,24.09
475,30,2023-12-09,9.99,23.47
476,1,2023-03-24,1.77,19.25
477,6,2023-05-29,1.34,9.83
478,6,2023-03-03,4.84,20.39
479,9,2023-10-01,14.34,22.61
480,30,2023-11-20,12.67,20.64
481,20,2023-06-12,6.59,13.15
482,9,2023-09-06,18.07,29.52
483,5,2023-11-08,14.54,18.52
484,14,2023-08-12,5.89,13.18
485,31,2023-09-19,10.73,14.94
486,24,2023-09-09,8.54,16.08
487,25,2023-05-31,5.8,18.81
488,28,2023-04-07,10.49,24.13
489,5,2023-05-03,5.3,17.94
490,6,2023-01-20,1.01,10.13
491,32,2023-06-04,9.87,13.58
492,8,2023-12-03,9.2,19.94
493,25,2023-03-04,1.11,12.91
494,19,2023-03-28,8.55,27.09
495,16,2023-11-25,3.47,8.8
496,10,2023-03-02,2.03,14.13
497,23,2023-05-26,11.25,28.31
498,4,2023-02-08,6.13,17.33
499,16,2023-02-12,9.02,15.9
500,22,2023-04-22,6.81,18.63
501,22,2023-01-27,3.59,23.4
502,27,2023-11-02,20.72,28.51
503,28,2023-12-05,13.2,18.01
504,12,2023-07-18,15.95,20.64
505,5,2023-07-28,8.97,12.58
506,17,2023-06-26,11.42,18.16
507,22,2023-03-27,0.87,9.1
508,21,2023-03-31,3.54,14.67
509,32,2023-06-09,6.74,12.71
510,5,2023-01-02,3.33,8.86
511,9,2023-11-21,2.53,5.47
512,24,2023-05-25,3.98,18.81
513,32,2023-02-03,14.66,31.53
514,30,2023-10-26,13.76,26.63
515,18,2023-09-24,7.06,15.6
516,23,2023-08-07,2.74,7.44
517,25,2023-11-06,11.46,22.5
518,19,2023-09-17,18.0,23.0
519,15,2023-01-30,0.4,9.52
520,2,2023-07-09,15.65,22.31
521,7,2023-10-30,8.03,19.7
522,22,2023-08-10,9.79,13.43
523,29,2023-06-28,12.98,17.78
524,26,2023-04-17,13.83,28.8
525,24,2023-07-06,14.63,19.38
526,33,2023-06-01,8.71,14.96
527,10,2023-04-05,1.97,16.49
528,29,2023-11-23,7.56,10.5
529,6,2023-08-22,22.11,23.47
530,10,2023-07-19,12.69,22.36
531,26,2023-03-10,10.75,24.72
532,24,2023-07-27,21.3,27.15
533,24,2023-01-14,2.64,27.92
534,17,2023-07-15,21.66,26.79
535,1,2023-09-01,7.71,14.03
536,2,2023-12-06,6.66,16.44
537,3,2023-02-12,13.67,27.92
538,19,2023-12-01,6.14,18.58
539,18,2023-02-26,0.1,11.4
540,15,2023-01-03,5.51,29.64
541,25,2023-09-18,5.2,10.47
542,27,2023-04-03,4.42,10.27
543,17,2023-01-21,1.73,19.91
544,33,2023-08-16,24.39,27.25
545,7,2023-01-03,5.51,20.33
546,1,2023-11-23,16.68,23.01
547,27,2023-07-29,10.63,17.29
548,4,2023-12-11,1.88,8.55
549,18,2023-02-21,0.1,5.87
550,32,2023-03-11,10.26,27.87
551,10,2023-01-04,2.64,12.92
552,31,2023-07-28,5.36,9.47
553,11,2023-04-09,2.52,10.53
554,33,2023-02-26,12.36,26.65
555,8,2023-06-29,6.48,8.28
556,11,2023-03-13,5.87,18.38
557,15,2023-03-15,2.56,14.05
558,10,2023-04-03,4.54,13.15
559,12,2023-10-12,13.83,23.64
560,10,2023-05-26,2.04,23.57
561,1,2023-10-02,5.05,10.03
562,18,2023-08-30,11.88,25.04
563,21,2023-03-21,0.1,12.91
564,13,2023-07-03,19.23,25.45
565,20,2023-01-17,5.22,22.98
566,1,2023-05-20,9.69,22.33
567,6,2023-01-20,8.6,20.63
568,18,2023-08-20,9.76,20.56
569,8,2023-04-27,6.71,12.46
570,24,2023-02-22,3.57,16.68
571,8,2023-05-07,3.3,12.09
572,23,2023-12-08,17.36,26.89
573,2,2023-06-10,18.24,23.34
574,13,2023-06-13,16.28,22.23
575,29,2023-03-16,2.76,6.03
576,11,2023-11-26,10.99,21.39
577,9,2023-01-04,2.9,9.87
578,28,2023-05-29,7.08,18.64
579,8,2023-11-24,6.62,10.42
580,24,2023-09-08,14.33,20.36
581,3,2023-11-03,12.97,18.32
582,30,2023-09-26,7.17,10.79
583,16,2023-01-15,1.52,5.87
584,9,2023-10-04,2.83,7.06
585,2,2023-02-07,6.06,24.42
586,2,2023-06-03,25.1,31.07
587,7,2023-11-15,20.51,27.19
588,19,2023-12-31,14.45,28.57
589,22,2023-05-05,8.84,20.31
590,20,2023-02-09,12.06,31.51
591,22,2023-03-06,0.1,6.16
592,33,2023-02-18,0.37,9.94
593,17,2023-05-28,0.1,11.01
594,31,2023-10-12,6.29,10.27
595,27,2023-08-21,9.34,14.83
596,19,2023-11-18,10.72,16.4
597,9,2023-10-09,15.48,27.3
598,3,2023-03-31,4.43,13.77
599,6,2023-11-25,9.25,24.53
600,33,2023-12-12,11.77,31.5
601,15,2023-01-12,3.17,10.17
602,25,2023-04-24,3.47,9.36
603,23,2023-09-12,4.73,7.46
604,2,2023-12-11,13.47,29.39
605,15,2023-08-26,23.52,25.11
606,8,2023-12-08,5.08,9.18
607,10,2023-02-19,8.07,30.45
608,15,2023-12-05,4.08,8.63
609,29,2023-05-09,0.98,5.57
610,16,2023-07-26,23.78,26.5
611,1,2023-06-13,13.09,24.53
612,22,2023-10-10,11.71,28.24
613,21,2023-06-26,9.22,16.23
614,32,2023-07-10,27.32,32.31
615,20,2023-12-24,8.68,16.78
616,2,2023-10-06,12.62,27.87
617,18,2023-04-06,14.29,29.69
618,1,2023-08-03,3.66,12.13
619,28,2023-10-18,9.38,14.62
620,4,2023-12-20,7.11,23.89
621,20,2023-07-03,14.86,19.41
622,10,2023-09-24,7.97,10.68
623,28,2023-01-08,0.32,7.08
624,25,2023-02-04,0.84,9.97
625,4,2023-07-18,13.3,19.25
626,22,2023-08-04,21.39,29.48
627,30,2023-05-04,5.0,17.1
628,15,2023-08-20,5.26,8.07
629,18,2023-07-10,4.16,7.58
630,29,2023-01-23,1.89,5.43
631,6,2023-07-24,6.14,11.14
632,21,2023-03-15,3.93,20.38
633,29,2023-08-01,13.53,15.61
634,6,2023-04-25,2.14,7.45
635,27,2023-12-06,4.16,12.87
636,5,2023-06-03,8.72,15.62
637,4,2023-03-13,3.89,14.08
638,23,2023-04-23,11.4,22.39
639,2,2023-09-20,9.86,13.04
640,18,2023-04-10,6.26,19.38
641,31,2023-07-24,7.35,10.92
642,11,2023-11-24,17.95,28.11
643,26,2023-06-01,6.35,14.05
644,18,2023-06-04,20.51,31.85
645,30,2023-09-13,15.12,25.88
646,12,2023-06-15,20.31,23.59
647,1,2023-09-30,7.55,13.53
648,19,2023-12-12,16.5,28.83
649,12,2023-05-04,5.07,26.73
650,10,2023-05-09,5.3,19.58
651,12,2023-04-19,3.6,21.1
652,20,2023-09-20,20.8,31.67
653,1,2023-01-17,0.23,7.57
654,18,2023-02-10,9.98,24.74
655,30,2023-12-30,3.82,7.47
656,9,2023-06-07,6.59,9.74
657,8,2023-06-19,6.62,7.5
658,22,2023-05-07,7.89,22.12
659,26,2023-11-04,2.84,9.43
660,7,2023-06-17,11.25,16.33
661,22,2023-06-11,9.74,12.4
662,30,2023-05-25,4.27,21.58
663,2,2023-07-16,17.48,19.36
664,12,2023-09-13,3.09,6.38
665,25,2023-01-08,0.1,11.27
666,11,2023-05-23,0.33,6.49
667,11,2023-07-08,8.81,10.11
668,29,2023-02-01,10.55,22.77
669,16,2023-04-20,12.98,25.52
670,15,2023-12-03,10.67,16.35
671,10,2023-11-14,14.07,24.08
672,22,2023-12-12,14.42,19.19
673,19,2023-07-03,15.8,19.41
674,12,2023-04-24,6.59,24.16
675,6,2023-06-14,4.08,7.07
676,9,2023-09-26,7.14,10.8
677,25,2023-04-26,1.77,14.17
678,3,2023-05-24,1.29,7.71
679,2,2023-03-13,11.16,20.84
680,28,2023-07-20,4.82,6.49
681,12,2023-12-20,2.58,13.02
682,6,2023-08-15,23.74,25.27
683,11,2023-02-20,11.87,28.3
684,32,2023-06-01,15.1,19.33
685,11,2023-11-04,19.42,32.55
686,9,2023-03-09,9.24,24.4
687,2,2023-06-04,22.49,28.08
688,6,2023-07-28,6.35,10.84
689,30,2023-10-05,10.64,17.56
690,12,2023-03-03,0.78,17.55
691,23,2023-12-17,17.45,28.1
692,16,2023-10-30,13.62,22.3
693,12,2023-07-27,4.44,9.83
694,25,2023-11-06,9.13,17.05
695,14,2023-09-01,19.04,29.33
696,1,2023-07-22,1.93,7.64
697,15,2023-03-06,7.78,19.96
698,23,2023-01-17,13.18,28.54
699,14,2023-03-04,0.96,28.37
700,15,2023-10-28,20.04,28.14
701,11,2023-09-14,5.98,10.44
702,3,2023-06-04,10.84,17.94
703,23,2023-01-04,10.62,26.93
704,12,2023-03-19,12.11,27.39
705,3,2023-08-03,20.01,21.53
706,7,2023-12-10,9.83,14.98
707,4,2023-02-24,0.1,11.32
708,16,2023-11-26,11.13,27.13
709,16,2023-04-19,4.83,11.1
710,24,2023-11-13,5.64,16.32
711,15,2023-09-08,12.95,16.41
712,32,2023-02-13,1.05,11.81
713,4,2023-01-02,3.51,13.79
714,4,2023-11-27,5.54,19.63
715,2,2023-04-05,1.6,6.49
716,22,2023-08-09,6.92,10.36
717,7,2023-07-12,15.52,23.83
718,10,2023-04-05,2.23,18.66
719,22,2023-07-12,22.74,26.7
720,18,2023-12-25,9.63,18.0
721,32,2023-02-02,2.17,15.38
722,33,2023-07-08,15.91,28.62
723,23,2023-11-04,7.09,21.59
724,20,2023-01-02,6.77,19.18
725,29,2023-10-24,9.5,17.11
726,10,2023-04-27,0.15,12.04
727,1,2023-05-27,7.34,27.44
728,23,2023-04-22,4.0,21.17
729,9,2023-04-30,5.23,13.94
730,6,2023-07-17,18.56,23.58
731,30,2023-08-27,18.0,31.68
732,5,2023-05-26,1.16,8.83
