Measurement_ID,District_ID,Date,Water_Table_Depth_m,Recharge_Rate
89,32,2023-12-01,9.81,0.93
90,26,2023-08-05,12.7,1.48
91,4,2023-06-05,13.69,3.53
92,28,2023-05-13,18.33,1.39
93,8,2023-11-06,13.52,1.75
94,29,2023-09-15,10.51,2.75
95,24,2023-08-31,17.6,3.65
96,22,2023-10-01,13.28,2.41
97,24,2023-02-27,18.54,0.4
98,12,2023-08-06,13.62,3.9
99,25,2023-12-12,14.91,2.71
100,6,2023-03-18,18.54,0.76
101,1,2023-06-22,19.07,2.94
102,17,2023-04-12,24.4,1.49
103,33,2023-11-11,19.95,0.99
104,30,2023-08-11,9.74,3.96
105,4,2023-08-26,13.35,3.21
106,19,2023-01-21,14.73,0.65
107,8,2023-09-08,10.85,2.2
108,30,2023-07-07,9.13,1.52
109,4,2023-11-03,11.59,2.49
110,24,2023-05-10,23.98,0.27
111,28,2023-06-22,9.14,3.22
112,19,2023-01-13,16.92,1.52
113,18,2023-04-02,25.84,1.63
114,19,2023-07-02,12.03,2.47
115,27,2023-01-09,20.86,0.34
116,29,2023-06-16,6.54,1.26
117,20,2023-11-22,14.92,1.3
118,3,2023-11-02,8.5,2.15
119,8,2023-07-02,15.59,1.84
120,3,2023-09-30,10.07,1.63
121,26,2023-05-08,28.05,0.67
122,12,2023-02-13,27.17,0.65
123,7,2023-03-06,23.97,0.54
124,10,2023-11-21,13.0,1.22
125,32,2023-08-09,10.03,4.21
126,18,2023-06-26,15.24,2.66
127,30,2023-12-19,20.68,1.82
128,16,2023-09-26,15.34,1.91
129,30,2023-01-21,25.69,0.22
130,5,2023-06-17,12.32,2.72
131,24,2023-01-20,21.27,1.09
132,10,2023-11-08,14.16,3.0
133,7,2023-07-15,16.45,4.66
134,33,2023-02-10,26.54,1.47
135,22,2023-11-23,21.36,2.76
136,20,2023-08-05,12.19,4.03
137,26,2023-01-12,27.74,1.34
138,12,2023-05-12,20.79,0.31
139,6,2023-08-10,15.22,4.63
140,8,2023-04-09,16.71,0.44
141,17,2023-06-05,10.39,3.3
142,33,2023-10-04,12.63,2.14
143,16,2023-12-22,19.24,2.28
144,4,2023-07-11,11.35,4.57
145,31,2023-04-21,19.53,0.41
146,28,2023-05-21,20.09,1.25
147,12,2023-05-22,26.61,1.7
148,33,2023-12-10,12.64,1.14
149,3,2023-11-06,7.5,2.42
150,26,2023-04-03,26.1,0.85
151,19,2023-05-20,17.94,1.73
152,1,2023-07-28,18.25,2.04
153,14,2023-01-10,25.96,1.2
154,27,2023-12-03,10.23,1.58
155,9,2023-05-21,13.65,0.67
156,18,2023-08-25,15.01,2.55
157,21,2023-02-19,19.36,1.06
158,15,2023-04-26,14.21,1.38
159,2,2023-12-30,13.05,1.86
160,21,2023-04-24,27.48,0.75
161,5,2023-11-10,16.65,1.66
162,19,2023-12-31,19.13,2.66
163,30,2023-10-29,11.92,2.32
164,27,2023-11-22,9.16,2.92
165,22,2023-10-05,13.68,2.63
166,25,2023-09-01,11.56,3.48
167,1,2023-06-25,18.92,4.36
168,22,2023-06-13,9.1,3.17
169,23,2023-08-16,10.46,2.76
170,10,2023-08-25,10.84,2.41
171,32,2023-04-18,20.98,0.51
172,11,2023-12-11,14.64,1.41
173,25,2023-05-11,18.42,1.38
174,26,2023-01-17,15.38,0.81
175,6,2023-11-20,14.01,1.87
176,32,2023-10-15,17.41,1.61
177,23,2023-02-12,15.96,1.62
178,14,2023-09-29,18.84,1.27
179,24,2023-06-05,13.39,2.43
180,19,2023-06-11,9.17,2.41
181,29,2023-12-12,16.11,1.22
182,30,2023-01-16,25.8,0.95
183,10,2023-11-16,13.4,2.48
184,11,2023-11-16,8.38,1.75
185,23,2023-10-17,13.24,1.54
186,28,2023-08-01,10.48,1.31
187,2,2023-05-26,14.36,0.43
188,32,2023-05-01,27.22,0.24
189,25,2023-10-03,12.38,2.94
190,9,2023-07-13,11.45,2.82
191,8,2023-02-19,12.74,1.27
192,26,2023-04-22,16.9,1.27
193,14,2023-02-26,28.74,1.05
194,19,2023-04-02,15.4,1.2
195,11,2023-07-25,11.32,3.12
196,27,2023-06-30,11.16,3.63
197,14,2023-08-03,14.75,4.75
198,18,2023-06-13,17.11,2.15
199,24,2023-11-19,18.63,1.27
200,7,2023-12-07,18.07,1.12
201,21,2023-09-15,12.58,4.05
202,26,2023-04-26,18.89,1.54
203,26,2023-09-11,15.41,2.63
204,30,2023-05-27,18.95,1.68
205,29,2023-03-22,15.49,1.31
206,12,2023-07-24,15.94,4.52
207,19,2023-01-02,22.39,1.14
208,22,2023-08-26,16.52,4.18
209,12,2023-12-16,19.47,0.87
210,7,2023-07-16,10.42,3.47
211,27,2023-08-03,11.6,2.35
212,27,2023-04-07,14.4,1.08
213,2,2023-11-13,11.66,1.31
214,15,2023-03-12,18.57,1.46
215,33,2023-02-11,19.66,0.55
216,27,2023-01-12,14.02,1.0
217,21,2023-11-09,19.37,2.24
218,16,2023-03-27,14.89,0.9
219,31,2023-12-17,17.87,1.19
220,6,2023-07-09,12.44,2.48
221,2,2023-11-04,9.72,0.91
222,25,2023-10-10,17.04,0.85
223,33,2023-04-09,14.28,0.76
224,11,2023-08-23,6.62,2.64
225,24,2023-05-03,15.75,0.76
226,12,2023-08-30,16.78,3.45
227,13,2023-06-15,12.99,1.53
228,9,2023-05-31,19.84,0.46
229,5,2023-01-16,13.94,1.26
230,14,2023-10-23,21.97,1.81
231,30,2023-08-24,7.43,4.37
232,16,2023-12-17,8.45,2.71
233,29,2023-05-04,17.93,0.78
234,12,2023-08-25,14.3,4.65
235,33,2023-11-25,19.61,1.83
236,8,2023-11-06,15.98,2.08
237,22,2023-03-23,23.2,1.53
238,16,2023-08-25,5.99,2.37
239,5,2023-01-04,26.3,1.72
240,3,2023-12-16,6.74,1.24
241,27,2023-09-24,16.32,2.97
242,31,2023-07-17,11.34,1.8
243,5,2023-08-02,15.81,2.03
244,17,2023-10-03,11.41,1.3
245,8,2023-11-07,18.67,2.35
246,2,2023-08-13,13.91,2.56
247,31,2023-01-31,24.34,1.46
248,19,2023-07-23,13.91,4.7
249,3,2023-07-06,8.27,3.4
250,26,2023-09-19,18.07,4.05
251,29,2023-08-08,12.08,1.47
252,8,2023-02-23,20.77,1.04
253,10,2023-05-15,16.07,1.61
254,8,2023-03-28,16.44,0.82
255,24,2023-07-31,14.64,2.96
256,22,2023-03-14,14.75,0.82
257,16,2023-09-05,6.59,1.89
258,14,2023-05-16,15.13,0.49
259,7,2023-06-18,9.98,3.14
260,5,2023-08-23,16.06,3.15
261,32,2023-05-06,23.26,0.77
262,17,2023-06-25,14.65,3.43
263,19,2023-12-19,13.92,1.23
264,29,2023-06-19,9.48,3.44
265,29,2023-12-25,13.56,2.76
266,17,2023-10-18,11.95,0.96
267,18,2023-11-01,17.92,2.75
268,3,2023-03-13,15.72,1.24
269,10,2023-09-25,9.8,3.21
270,19,2023-01-14,23.42,1.59
271,15,2023-07-09,8.04,2.48
272,24,2023-05-30,22.88,0.26
273,20,2023-03-23,23.7,1.04
274,20,2023-09-01,10.92,4.13
275,29,2023-12-11,11.92,2.98
276,19,2023-03-21,23.83,1.33
277,9,2023-03-17,12.03,1.65
278,19,2023-07-16,14.3,2.02
279,17,2023-11-23,13.84,1.39
280,15,2023-01-15,26.77,1.57
281,14,2023-10-26,22.19,2.54
282,20,2023-03-17,20.42,0.53
283,1,2023-05-13,18.0,0.44
284,24,2023-09-18,13.39,4.51
285,26,2023-09-02,18.89,2.23
286,11,2023-06-26,13.16,3.35
287,10,2023-10-28,15.36,2.26
288,33,2023-06-10,10.54,4.6
289,24,2023-07-13,14.98,3.92
290,32,2023-11-28,12.29,1.17
291,11,2023-09-26,10.13,3.96
292,31,2023-03-31,24.75,0.88
293,31,2023-07-14,13.35,2.89
294,1,2023-12-09,14.63,2.43
295,5,2023-06-25,14.85,1.93
296,15,2023-06-08,10.04,2.98
297,14,2023-04-25,17.64,1.69
298,10,2023-05-23,21.77,0.39
299,8,2023-11-29,9.84,2.9
300,13,2023-07-02,15.92,3.84
301,32,2023-08-24,8.11,4.42
302,1,2023-09-26,13.52,3.57
303,15,2023-04-14,26.42,0.36
304,24,2023-12-07,15.71,0.91
305,3,2023-07-24,9.6,2.11
306,7,2023-06-18,15.79,2.63
307,33,2023-02-04,21.7,1.58
308,18,2023-10-11,22.66,1.91
309,6,2023-01-29,19.5,0.32
310,29,2023-10-18,8.6,2.14
311,16,2023-05-06,12.56,0.81
312,17,2023-04-04,13.18,1.18
313,16,2023-04-27,17.6,0.4
314,30,2023-04-01,17.17,1.11
315,3,2023-11-08,14.49,1.82
316,18,2023-10-10,20.5,1.05
317,18,2023-02-16,16.04,0.27
318,13,2023-02-02,22.04,1.33
319,9,2023-09-25,6.47,3.5
320,20,2023-02-01,20.71,1.78
321,14,2023-04-27,25.07,1.25
322,16,2023-10-27,14.49,2.99
323,31,2023-08-26,15.42,3.14
324,7,2023-10-02,14.14,1.82
325,4,2023-06-13,12.01,3.11
326,5,2023-04-11,16.7,1.68
327,31,2023-03-01,18.48,1.55
328,29,2023-02-12,19.1,1.35
329,31,2023-04-12,16.33,1.2
330,7,2023-10-05,14.66,1.61
331,14,2023-11-03,21.61,1.05
332,32,2023-06-03,12.25,1.9
333,1,2023-10-25,21.42,1.36
334,28,2023-02-27,21.97,0.46
335,29,2023-11-26,13.3,2.78
336,13,2023-10-29,12.53,2.26
337,30,2023-01-01,15.89,0.87
338,17,2023-07-28,12.54,3.28
339,18,2023-09-10,14.88,3.5
340,12,2023-06-18,11.59,2.64
341,33,2023-09-05,7.2,3.97
342,33,2023-05-26,24.55,0.52
343,20,2023-05-16,16.85,0.27
344,16,2023-06-24,15.35,4.11
345,18,2023-12-14,15.18,1.86
346,33,2023-06-08,9.75,3.35
347,29,2023-02-27,22.49,0.92
348,12,2023-09-07,17.61,3.06
349,1,2023-06-13,10.53,3.44
350,33,2023-08-29,11.45,4.57
351,32,2023-03-25,18.87,0.84
352,12,2023-02-03,23.98,1.04
353,28,2023-12-11,13.6,2.98
354,20,2023-02-18,18.26,0.64
355,29,2023-06-25,15.09,1.21
356,12,2023-04-10,17.69,1.14
357,7,2023-04-29,14.95,1.78
358,14,2023-06-07,13.67,3.35
359,33,2023-06-06,8.43,2.24
360,21,2023-09-29,13.99,3.18
361,31,2023-02-22,22.59,0.63
362,20,2023-11-09,17.87,1.44
363,14,2023-10-20,18.07,2.13
364,10,2023-06-15,8.71,3.18
365,11,2023-04-09,12.35,1.0
366,26,2023-03-29,24.73,0.32
367,11,2023-11-09,19.45,1.81
368,11,2023-06-16,15.57,1.59
369,31,2023-12-01,19.01,1.04
370,27,2023-05-18,18.84,1.7
371,15,2023-05-15,16.24,0.26
372,31,2023-06-05,13.54,3.35
373,24,2023-03-16,21.12,0.25
374,20,2023-06-20,14.56,1.82
375,23,2023-06-11,16.29,3.67
376,29,2023-06-07,13.51,2.04
377,28,2023-10-16,19.67,1.98
378,26,2023-08-02,17.54,2.18
379,1,2023-07-26,16.64,3.27
380,4,2023-07-29,8.21,2.66
381,23,2023-11-27,11.19,1.59
382,9,2023-08-22,9.0,2.91
383,18,2023-01-10,23.26,1.11
384,13,2023-04-17,15.08,1.4
385,17,2023-05-31,26.42,0.76
386,24,2023-01-13,16.44,1.06
387,21,2023-08-07,14.89,3.64
388,25,2023-06-16,14.5,1.73
389,13,2023-04-21,26.25,0.88
390,33,2023-08-14,9.04,1.51
391,18,2023-02-24,20.69,1.19
392,5,2023-05-05,22.18,1.74
393,11,2023-06-16,7.72,4.75
394,31,2023-10-31,15.47,1.8
395,31,2023-01-24,24.05,1.31
396,25,2023-12-19,14.56,2.74
397,32,2023-05-08,22.72,1.32
398,18,2023-11-07,21.61,1.79
399,25,2023-01-31,23.57,1.39
400,7,2023-01-29,19.04,0.33
401,22,2023-05-22,24.3,0.28
402,24,2023-08-13,15.1,4.48
403,19,2023-02-26,17.26,0.36
404,31,2023-03-10,14.87,1.1
405,5,2023-06-16,16.3,3.04
406,27,2023-03-19,13.96,1.2
407,10,2023-10-29,18.28,1.67
408,20,2023-10-21,18.69,1.51
409,13,2023-10-15,20.01,1.55
410,6,2023-08-13,9.68,4.37
411,16,2023-06-17,11.13,2.23
412,17,2023-10-13,20.35,2.32
413,19,2023-12-20,11.05,2.15
414,2,2023-03-13,24.41,1.31
415,5,2023-12-25,11.81,2.23
416,21,2023-07-04,14.03,4.16
417,29,2023-04-20,14.94,1.32
418,12,2023-06-14,9.14,3.71
419,30,2023-04-27,26.47,0.48
420,30,2023-07-05,10.14,3.3
421,22,2023-04-12,23.75,0.75
422,17,2023-05-11,22.43,1.64
423,2,2023-03-13,22.4,1.34
424,8,2023-11-25,12.22,2.81
425,27,2023-08-07,9.15,1.94
426,26,2023-09-07,12.61,3.54
427,4,2023-09-28,16.34,1.68
428,4,2023-09-20,15.86,4.13
429,24,2023-01-09,22.14,1.42
430,28,2023-01-17,15.65,0.47
431,33,2023-06-17,15.46,2.99
432,32,2023-05-25,16.83,1.3
433,22,2023-11-21,20.2,2.19
434,5,2023-02-08,17.73,0.97
435,6,2023-10-13,18.15,0.95
436,8,2023-09-30,7.81,2.87
437,11,2023-09-20,12.23,2.42
438,6,2023-10-21,12.7,0.89
439,30,2023-11-09,9.42,1.41
440,13,2023-02-07,21.96,1.09
441,28,2023-05-22,20.02,0.86
442,30,2023-08-20,9.55,2.64
443,10,2023-11-30,11.15,1.05
444,22,2023-02-07,17.7,1.79
445,12,2023-11-28,14.79,2.86
446,22,2023-08-21,11.42,2.78
447,28,2023-01-11,24.26,0.35
448,26,2023-10-22,13.16,2.94
449,19,2023-01-04,19.48,0.27
450,25,2023-01-10,15.04,1.65
451,1,2023-04-26,27.31,0.93
452,21,2023-08-07,9.47,4.19
453,10,2023-05-13,18.03,0.87
454,15,2023-10-27,17.17,1.58
455,21,2023-09-30,14.13,4.39
456,30,2023-12-01,18.59,1.64
457,13,2023-10-22,13.99,1.43
458,23,2023-10-23,13.16,1.89
459,10,2023-04-07,19.32,0.41
460,10,2023-04-16,15.78,0.75
461,20,2023-04-03,21.9,1.15
462,7,2023-01-14,19.49,1.38
463,3,2023-03-07,20.93,0.88
464,23,2023-02-05,14.72,1.05
465,21,2023-06-11,11.66,1.7
466,15,2023-12-03,20.77,1.61
467,14,2023-04-14,23.79,0.98
468,20,2023-03-25,16.03,0.29
469,28,2023-05-19,21.87,0.6
470,15,2023-04-22,16.4,1.73
471,23,2023-01-14,19.44,0.25
472,9,2023-08-14,8.57,3.3
473,8,2023-07-12,8.92,1.3
474,2,2023-08-16,10.67,1.58
475,14,2023-07-14,15.22,3.43
476,4,2023-08-17,8.1,2.25
477,29,2023-07-24,10.58,3.18
478,13,2023-04-16,18.68,0.66
479,25,2023-10-30,22.17,0.89
480,8,2023-02-17,25.48,0.28
481,12,2023-09-17,11.75,2.98
482,8,2023-03-25,13.64,0.42
483,14,2023-03-03,18.62,1.76
484,32,2023-11-06,13.94,2.05
485,23,2023-06-12,14.02,3.87
486,27,2023-04-08,22.01,0.74
487,14,2023-02-16,16.59,0.65
488,33,2023-07-04,8.93,1.69
489,31,2023-05-11,11.95,1.7
490,33,2023-02-27,25.72,0.28
491,30,2023-01-09,15.45,0.42
492,1,2023-07-14,11.9,1.93
493,27,2023-07-24,15.84,1.5
494,7,2023-07-01,8.8,1.49
495,24,2023-06-08,17.72,4.51
496,5,2023-08-11,14.03,2.73
497,20,2023-04-28,16.69,0.55
498,6,2023-11-30,14.44,2.49
499,25,2023-08-30,11.02,2.32
500,2,2023-05-21,20.63,0.58
501,21,2023-01-24,22.02,0.82
502,10,2023-05-08,13.97,0.84
503,12,2023-10-17,21.9,1.44
504,1,2023-03-07,19.6,0.31
505,10,2023-03-13,22.1,1.56
506,31,2023-01-20,16.55,0.58
507,4,2023-11-02,21.2,2.44
508,14,2023-12-05,17.83,1.47
509,19,2023-07-10,8.61,3.78
510,27,2023-03-22,19.68,1.03
511,27,2023-03-30,13.41,1.02
512,12,2023-09-23,17.1,4.61
513,10,2023-12-09,10.77,2.19
514,12,2023-07-06,14.55,4.41
515,8,2023-03-25,22.15,1.74
516,2,2023-09-12,15.83,2.01
517,14,2023-06-06,16.28,3.11
518,26,2023-11-17,13.54,1.23
519,24,2023-05-16,15.06,1.47
520,21,2023-01-15,18.39,1.57
521,2,2023-06-19,12.31,3.63
522,2,2023-08-29,9.14,2.85
523,3,2023-03-15,16.38,0.58
524,27,2023-01-24,24.03,1.2
525,25,2023-11-03,10.82,2.6
526,11,2023-03-22,13.67,0.85
527,7,2023-01-08,20.68,0.21
528,23,2023-04-25,22.12,1.26
529,6,2023-08-03,13.65,1.79
530,5,2023-02-27,16.45,0.6
531,31,2023-08-26,15.21,1.44
532,27,2023-10-02,13.52,2.72
533,29,2023-03-10,23.22,1.52
534,1,2023-06-09,18.81,2.59
535,31,2023-08-29,8.71,1.31
536,17,2023-03-07,15.23,1.1
537,21,2023-12-03,11.73,2.42
538,24,2023-11-11,10.37,1.37
539,7,2023-09-02,13.64,2.12
540,32,2023-10-20,18.13,2.99
541,13,2023-03-06,25.7,0.75
542,15,2023-09-21,15.99,1.38
543,9,2023-03-15,21.32,0.24
544,15,2023-12-04,11.08,2.97
545,6,2023-02-18,18.17,1.51
546,26,2023-05-25,20.23,1.54
547,7,2023-05-08,26.2,0.9
548,15,2023-05-09,20.81,1.21
549,12,2023-12-04,22.09,1.36
550,20,2023-06-18,14.14,2.37
551,30,2023-12-09,11.63,0.99
552,18,2023-03-09,23.54,1.61
553,21,2023-08-05,11.36,3.19
554,24,2023-12-05,17.63,1.71
555,10,2023-10-24,20.33,1.6
556,3,2023-07-17,5.86,1.72
557,4,2023-04-12,26.2,1.78
558,12,2023-01-08,18.92,0.43
559,10,2023-11-21,15.28,2.36
560,3,2023-05-02,19.18,1.72
561,11,2023-07-23,14.37,4.33
562,21,2023-01-06,21.43,0.72
563,31,2023-09-05,12.63,2.78
564,23,2023-04-07,17.01,0.44
565,26,2023-08-20,14.25,3.34
566,14,2023-08-21,14.72,1.62
567,17,2023-10-07,15.97,1.17
568,29,2023-03-02,21.74,0.89
569,18,2023-12-02,21.04,2.51
570,33,2023-06-22,14.07,3.72
571,22,2023-04-06,21.34,0.3
572,17,2023-06-24,13.68,2.88
573,32,2023-10-09,15.02,1.63
574,30,2023-12-06,20.17,1.35
575,7,2023-12-09,12.48,2.92
576,22,2023-09-23,15.6,1.25
577,17,2023-02-02,25.82,0.56
578,24,2023-08-07,14.98,3.19
579,2,2023-10-06,14.67,2.38
580,9,2023-02-18,14.07,0.45
581,15,2023-08-23,13.5,2.25
582,8,2023-03-03,25.27,0.92
583,19,2023-03-06,13.96,1.3
584,23,2023-06-07,10.04,1.73
585,29,2023-08-12,10.67,4.67
586,6,2023-09-16,11.24,2.45
587,12,2023-07-23,13.32,1.24
588,33,2023-04-10,14.69,1.56
589,10,2023-12-15,21.23,1.15
590,15,2023-01-09,20.48,1.75
591,13,2023-07-01,10.1,1.87
592,10,2023-10-16,20.61,2.35
593,4,2023-09-30,9.24,2.62
594,24,2023-10-04,10.6,1.75
595,15,2023-12-22,18.32,2.02
596,11,2023-07-11,12.66,2.38
597,11,2023-02-21,14.45,0.22
598,11,2023-11-22,18.04,2.2
599,15,2023-03-19,16.19,0.87
600,28,2023-04-14,24.33,1.06
601,18,2023-01-26,19.05,0.63
602,26,2023-06-01,11.14,4.17
603,25,2023-09-25,14.19,3.75
604,27,2023-09-01,14.98,4.75
605,30,2023-06-14,9.52,1.85
606,9,2023-06-03,9.79,1.33
607,1,2023-02-08,26.17,1.61
608,17,2023-12-29,17.36,1.39
609,20,2023-04-17,15.76,0.81
610,5,2023-01-31,24.54,0.76
611,27,2023-03-13,12.86,0.64
612,10,2023-09-04,17.39,3.64
613,11,2023-05-05,24.8,1.44
614,26,2023-03-23,22.52,0.44
615,27,2023-07-20,9.87,3.3
616,13,2023-05-08,26.73,0.63
617,23,2023-02-06,14.68,1.09
618,15,2023-05-22,15.45,1.18
619,9,2023-07-25,7.8,2.03
620,8,2023-10-27,12.42,2.11
621,10,2023-04-16,21.12,0.59
622,29,2023-03-14,24.92,0.38
623,18,2023-06-17,9.25,3.37
624,1,2023-11-23,12.57,1.91
625,8,2023-09-24,15.15,3.71
626,20,2023-09-26,14.21,3.27
627,7,2023-11-18,10.83,1.75
628,31,2023-04-29,16.41,1.72
629,29,2023-06-02,8.87,2.9
630,8,2023-10-05,18.89,2.54
631,30,2023-03-20,26.53,1.17
632,5,2023-06-24,10.21,4.18
633,18,2023-01-21,18.93,0.46
634,25,2023-05-11,24.26,1.22
635,8,2023-11-17,18.18,2.92
636,30,2023-08-07,15.6,1.42
637,11,2023-12-30,16.16,2.53
638,32,2023-05-30,27.13,0.8
639,15,2023-09-25,8.68,4.27
640,7,2023-02-15,17.13,1.16
641,24,2023-05-04,19.38,0.84
642,32,2023-12-26,18.17,1.6
643,28,2023-08-04,14.04,1.25
644,4,2023-11-23,13.62,1.5
645,7,2023-05-24,23.16,0.7
646,18,2023-05-09,23.72,1.3
647,33,2023-06-18,13.41,3.37
648,27,2023-12-08,13.34,1.62
649,17,2023-07-02,12.78,1.43
650,6,2023-01-07,25.38,1.52
651,7,2023-09-06,10.14,3.24
652,16,2023-10-27,18.83,1.4
653,32,2023-04-24,23.78,0.33
654,28,2023-12-07,15.39,2.74
655,18,2023-02-23,22.58,1.19
656,32,2023-10-15,20.27,2.37
657,25,2023-11-07,18.72,2.09
658,25,2023-01-22,23.24,1.49
659,7,2023-10-30,20.43,2.55
660,7,2023-10-22,17.17,1.1
661,7,2023-03-02,24.12,1.38
662,16,2023-07-04,13.35,2.03
663,27,2023-07-21,15.41,1.55
664,3,2023-06-27,7.15,3.59
665,29,2023-08-24,13.18,2.33
666,3,2023-07-24,11.62,2.6
667,28,2023-12-09,9.11,1.16
668,2,2023-04-21,24.58,0.56
669,12,2023-01-13,16.45,1.29
670,22,2023-02-20,19.67,1.47
671,19,2023-07-31,15.02,4.25
672,2,2023-08-22,9.36,3.02
673,17,2023-07-03,13.63,2.36
674,23,2023-06-30,7.39,2.98
675,16,2023-05-22,11.82,1.72
676,29,2023-01-25,23.6,0.51
677,21,2023-08-23,10.72,4.74
678,17,2023-03-24,18.36,1.45
679,14,2023-10-13,16.39,2.7
680,21,2023-07-25,14.88,1.28
681,23,2023-03-30,17.1,1.09
682,32,2023-02-15,26.35,0.36
683,22,2023-06-30,13.51,2.29
684,15,2023-06-12,15.88,3.95
685,20,2023-02-21,19.21,0.47
686,6,2023-11-24,9.26,2.17
687,26,2023-06-10,13.03,2.33
688,32,2023-11-24,21.21,1.83
689,12,2023-07-15,16.37,1.84
690,13,2023-05-16,14.73,0.87
691,32,2023-06-29,14.04,3.02
692,22,2023-08-13,16.4,2.76
693,24,2023-03-23,18.27,1.67
694,11,2023-06-15,10.26,2.17
695,2,2023-02-27,13.59,1.47
696,13,2023-10-25,20.44,0.87
697,20,2023-09-17,11.62,3.9
698,19,2023-10-14,19.76,1.63
699,12,2023-07-23,17.59,2.62
700,5,2023-04-12,15.38,0.21
701,6,2023-02-16,17.74,0.81
702,26,2023-05-15,28.2,0.53
703,10,2023-06-24,11.31,1.29
704,23,2023-07-23,14.61,4.49
705,9,2023-07-17,7.55,2.74
706,7,2023-05-31,14.39,0.93
707,6,2023-06-15,8.46,3.08
708,15,2023-08-15,14.33,3.19
709,3,2023-05-06,14.04,0.77
710,10,2023-12-08,17.15,2.1
711,18,2023-01-14,16.77,1.55
712,32,2023-04-25,20.04,0.46
713,15,2023-05-06,14.7,1.74
714,15,2023-08-14,9.8,4.47
715,14,2023-03-16,20.78,0.82
716,1,2023-06-01,16.09,1.24
717,16,2023-01-11,16.38,0.68
718,31,2023-08-13,14.29,3.1
719,27,2023-10-12,12.75,1.39
720,13,2023-07-31,14.44,1.75
721,12,2023-09-23,11.33,2.26
722,26,2023-11-18,18.26,1.62
723,25,2023-05-14,21.46,1.24
724,24,2023-05-15,27.31,1.42
725,28,2023-07-09,11.16,3.89
726,24,2023-05-01,27.22,1.0
727,21,2023-10-04,14.77,0.97
728,23,2023-02-09,25.47,0.59
729,9,2023-06-14,5.81,3.13
730,16,2023-10-03,17.79,1.69
731,9,2023-02-19,22.13,1.54
732,33,2023-12-29,14.28,2.1
